Title,Schedule,Description,Location,Phone,Email,Website
2school for Afterschool - Leigh (Term Time),Tuesday 3:30-4:30pm,"Whilst enjoying a range of activities to explore with new friends, we will offer homework help, a chance to share your thoughts for the day and some games to pass the time! For Open Age years. Tuesday's @ 3-30-4:30pm Drop In","Westleigh Start Well Family Centre, Westleigh Lane, Leigh, Leigh, WN7 5NJ, 01942 777705",N/A,N/A,N/A
Action Station Community Shop Ince,Monday - Friday 9-4pmSaturday 10-1pm,"More than a traditional charity shop, bright, tidy space, warm and welcoming, call for a chat or browse. Accepting donations, selling quality pre-loved items and offering volunteering opportunities to people of all backgrounds.","13 Smithy Green, Ince-in-Makerfield, WN2 2AT, WIGAN, Greater Manchester, WN2 2AT",N/A,N/A,N/A
After School Pottery Club,Every Monday between 4pm & 5.30pm,"Running from 4pm - 5.30pm, it’s the perfect activity to allow your kids to get creative with clay and unwind after a long day at school. Each session, our skilled instructors will guide them through a series of relaxed but hands-on sessions, with a different…","Gerrard Winstanley House, Crawford St, Wigan, Greater Manchester, WN1 1NA",N/A,N/A,N/A
AIM Northwest,N/A,"AIM Northwest provides support through a comprehensive range of services to anyone experiencing or recovering from domestic abuse. We provide support that is hollistic and tailored to meet your needs. Simultaneously, we offer intervention support for perpetrators, focusing on accountability, behavioral change, and fostering healthy…","Park Road, Leigh, WN7 2LB",N/A,N/A,N/A
All Ears MHA C.I.C,N/A,"Since 2020, we have specialised in providing educational emotional wellbeing workshops and assemblies to support young people in schools and colleges across Greater Manchester. These are catered to different ages but essentially aim to provide young people with their own toolkit to healthily process their…",N/A,N/A,N/A,N/A
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Ashton Bears ARLFC,N/A,For information and contact details please visit their website below.,"Low Bank Road, Ashton-in-makerfield, Wigan, WN4 9RP",N/A,N/A,N/A
Ashton Park JFC,N/A,Football for under 5's to under 11's Full information on website below.,"St. Oswalds Primary School, Council Avenue, Ashton-in-makerfield, Wigan, WN4 9AZ",N/A,N/A,N/A
Astley & Tyldesley FC,N/A,"The club provides opportunities for young players from reception age with fun themed game sessions, and 6 - 18 years old with friendly games progressing to league and cup based competitions In 2008 we were delighted in setting up our first girl’s team and hope…","Astley, Manchester, M29 7DW",N/A,N/A,N/A
Astley and Tyldesley Cycle Speedway Club,N/A,"Speedway is a fast, exciting form of cycling. The club meet regularly and compete with other clubs all over the country.  Have fun at the exciting sport of Cycle Speedway, on our superb race track. See if you can make it onto one of Astley…","Meanley Road, Tyldesley, MANCHESTER, M29 7DW",N/A,N/A,N/A
Astley Unlimited Choir,N/A,Please visit their website for information and contact details.,N/A,N/A,N/A,N/A
Astley V.I.P Amateur Boxing Club,N/A,"We are boxing club based in the town of Astley, Wigan. We currently accept new members from 9 years of age. New members are welcome on Monday and Friday nights. For more information and contact details please go to the website below.",N/A,N/A,N/A,N/A
Astley Youth Band,N/A,"Astley Youth Band is an independent, self funded, community based brass band. It is a registered charity (1144563) in England and Wales. Astley Youth Band was formed in January 1994. The aims of the band are: -   To promote brass music for young people in…","Manchester Road, Leigh, LEIGH, WN7 2LU",N/A,N/A,N/A
Atherton Collieries FC,N/A,Please visit their website for information and contact details.,"Alder Street, Atherton, Manchester, M46 9EY",N/A,N/A,N/A
Atherton Town FC,N/A,For information and contact details please visit their website.,"Howe Bridge Sports Centre, Leigh Road, Atherton, Manchester, M46 0PJ",N/A,N/A,N/A
Autism Drop-In,Wednesdays 3:15-4:15pm,Come and meet our Early Years Worker who will have some fun activities to suit your child's needs. A great opportunity to meet other parents/carers to share experiences and chat.   Drop in session. No booking required. Term time only. Please call ahead to check…,"Douglas Valley Nursery, Turner Street, Scholes, Wigan, WN1 3SU, 01942 767503 option 2",N/A,N/A,N/A
Autism Engagement Group,Second Thursday of the month,Then don't forget to come along to our monthly Autism Engagement Group. Drink refreshments available.,"Dobson Park Way, Ince, Wigan, WN2 2DX",N/A,N/A,N/A
Autism Friends Coffee Group,First Thursday of the month,"Have a brew, chat, play games, socialise and make new friends.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Autism Friends Employability Group,Third Thursday of each month,"Get support from Job Centre staff around finding volunteering opportunities or paid work, identifying reasonable adjustments, benefit guidance and employability skills.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Baby Bloom Classes Leigh & Atherton,Sessions Monday to Friday term time,Multi award winning baby development classes for infants 0-14months Each activity promotes the natural development of infants and encourages bonding in a sensory rich environment. Catapillar club for infants 0-6 months Busy Bees for infants 6-14 months,"3, Kenwood Avenue, Leigh, WN7 2LN, 07810 863924",N/A,N/A,N/A
Baby Massage,Wednesdays 1:30-2:30pm,Suitable for babies age 6 weeks - 6 months. Learn different massage techniques for your baby. Booking is essential. Please call 01942 767503 option 2 to book.,"Douglas Valley Nursery, Turner Street, Scholes, Wigan, WN1 3SU, 01942 767503",N/A,N/A,N/A
Baby Stars,Tuesday's 1:30-2:30pm,"A fun stay and play session for ages 3-12 months. Term time only. Drop in session, no booking required. Please ring 01942 767503 option 2 to check this session is running before making your journey.","Ince Start Well Family Centre, Charles Street, Wigan, WN2 2AL",N/A,N/A,N/A
Big About Kids CIC,N/A,At BIG About Kids we're devoted to giving our community and its families the best opportunities we can. We hold sessions for pre schoolers weekly and organise amazing local community events through the year! Please visit the website below for more information and to book…,"Wigan Council, Ashton Library, Wigan Road, Ashton-in-makerfield, Wigan, WN4 9BH",N/A,N/A,N/A
Big Cook Little Cook - Westleigh - (Term Time),Thursday's 10:00-12:00pm,Thursday's 10:00-12:00pm 2 years + Booking Required,"Westleigh Start Well Family Centre, Westleigh Lane, Leigh, Leigh, WN7 5NJ",N/A,N/A,N/A
Brick Homeless Project,"Advice & support: Monday, Tuesday, Thursday and Friday 9.00am to 4.00pm.Food Parcels 9.00am - 4.00pm Daily.Showers for street homeless 8.00am -9.00amTuesday and Thursday.Free Life Skills training: Monday, Tuesday, Thursday and Friday 9.30am - 12 noon and 1.30pm - 4.00pm.","The Brick Project is a growing charity that delivers big results for the community it serves. It offers services to people who are homeless, in poverty or facing debt crisis. As its name suggests, it provides a safe, solid building block for people in crisis…","10 Arcade Street, WIGAN, WN1 1LU, 01942 236953",N/A,N/A,N/A
Bridgers Community Group { The Bridgers },N/A,"The basic aims and objectives of the Bridgers is to bring the residents of the village of Howe Bridge together to work as a team to make Howe Bridge a better place to live. This will be achieved by utilising the skills, experience and expertise…",N/A,N/A,N/A,N/A
Bridgewater Day Care,Open Monday - Friday from 10am until 4pm,"Bridgewater Day Care is a day care service for adults, older people and those living with a form of dementia.     View their Video here: https://vimeo.com/954812784   <iframe src=""https://player.vimeo.com/video/954812784?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" width=""480"" height=""480"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write"" title=""Welcome to Bridgewater Day Care!""></iframe>   From their Day Centre…","Queen Street, Golborne, Warrington (Cheshire), Cheshire, WA3 3AF",N/A,N/A,N/A
Brighter Better Orrell,N/A,"Brighter Better Orrell was founded early 2020 as a litter picking group, with the aim of creating a brighter, cleaner and safer community, and a place to be proud to live and work, by bringing individuals together with common interests and concerns. This has enabled…",N/A,N/A,N/A,N/A
BRYN DEMENTIA SUPPORT GROUP,Last Friday of the month from 11am-1pm,"Join us for our monthly Dementia Support Group, held on the last Friday of each month from 11:00 AM to 1:00 PM. This group offers a compassionate space for families and caregivers who are supporting loved ones living with dementia. Whether you're seeking advice, sharing…","Cooke St, Bryn, Ashton-in-Makerfield, WN4 0DL",N/A,N/A,N/A
Captain's Lane Community Centre,N/A,"Built in the 1960s, the centre served as a youth club until 1995 when it was in danger of closure. Through the efforts of committed members and local volunteers it was established as an independent community organisation, and continues to provide facilities for a variety…","Captain's Lane (off Bolton Road), Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 8PG, 07982 929507",N/A,N/A,N/A
Chaos and Calm Podcast,N/A,"On the Chaos and Calm Podcasts we have parents that discuss their SEND journeys and just how different they can be. We talk about Behaviours, Strategies, Services, the more challenging things and the FUN things we have to deal with. We also discuss and ask…",07566 724032,N/A,N/A,N/A
Childcare and Community Centre,N/A,Children and Community Centre Ashton and District (CCCAD) is a non-profit organisation. The Centre serves the local community in a variety of ways from providing childcare services through interest sessions for teenagers to fitness and social groups for elderly people. Childcare and Community Centre aims…,"Hilton Street, Ashton-in-makerfield, Wigan, WN4 8PD, 01942 274684",N/A,N/A,N/A
Childminder drop-in - Golborne (term-time only),Monday 9:30am-11:30 am & Wednesday 11:15am-2:00pm,"An opportunity for local childminders to meet and share best practice. A chance for the children in their care to enjoy some social time, games and stories with their friends.","Talbot Street, Golborne, WA3 3NN, 01942 777705",N/A,N/A,N/A
Childminder Drop-In - Westleigh (Term Time Only),Tuesday 9:00-11:30am,"An opportunity for local childminders  to meet and share best practice. A chance for the children in their care to enjoy some social time, games and stories with their friends","Westleigh Start Well Family Centre, Westleigh Lane, Leigh, WN7 5NJ, 01942777705",N/A,N/A,N/A
Church Lane (Lowton) Community Centre,N/A,"Facilities The Church Lane Centre consists of one large light and airy room which can hold about 40 people, plus kitchen facilities. Booking Form Please email all completed booking forms to churchlane@douglasvalley.org.uk Church Lane (Lowton) Community Centre – Douglas Valley Community",N/A,N/A,N/A,N/A
Church Street Community Cafe,Every Tuesday and Thursday from 11-1pm,"Free Coffee and Teas, there is extra cost for hot food and specialty drinks.  We serve flavoured lattes, toast, tea cakes, bacon or sausage butties and other food items available.","25, Church Street, Orrell, Wigan, Greater Manchester, WN5 8TG",N/A,N/A,N/A
Complete Kindness CIC,N/A,Qualified counsellors supporting the community across the Wigan Borough.,N/A,N/A,N/A,N/A
