Title,Schedule,Description,Location,Phone,Email,Website
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Ashton Bears ARLFC,N/A,For information and contact details please visit their website below.,"Low Bank Road, Ashton-in-makerfield, Wigan, WN4 9RP",N/A,N/A,N/A
Bramble House Community Centre,N/A,Run by volunteers Bramble House is very much the centre of the local community. Facilities The Centre has a large kitchen and 2 downstairs rooms which can be made into one larger room if required. The outside grassed area is a lovely place to hold…,N/A,N/A,N/A,N/A
Captain's Lane Community Centre,N/A,"Built in the 1960s, the centre served as a youth club until 1995 when it was in danger of closure. Through the efforts of committed members and local volunteers it was established as an independent community organisation, and continues to provide facilities for a variety…","Captain's Lane (off Bolton Road), Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 8PG, 07982 929507",N/A,N/A,N/A
Childcare and Community Centre,N/A,Children and Community Centre Ashton and District (CCCAD) is a non-profit organisation. The Centre serves the local community in a variety of ways from providing childcare services through interest sessions for teenagers to fitness and social groups for elderly people. Childcare and Community Centre aims…,"Hilton Street, Ashton-in-makerfield, Wigan, WN4 8PD, 01942 274684",N/A,N/A,N/A
Church Street Community Cafe,Every Tuesday and Thursday from 11-1pm,"Free Coffee and Teas, there is extra cost for hot food and specialty drinks.  We serve flavoured lattes, toast, tea cakes, bacon or sausage butties and other food items available.","25, Church Street, Orrell, Wigan, Greater Manchester, WN5 8TG",N/A,N/A,N/A
Clifton Street Community Centre,N/A,"The building has been managed since opening as a neighbourhood centre by the very committed Worsley Mesnes South Community Action Group, who have created a warm and welcoming centre.   Facilities Two large very spacious rooms available for all kinds of activities, meetings, dance groups,…",N/A,N/A,N/A,N/A
Community Room at Leigh Spinners Mill,N/A,"A space available to hire on Floor 2 of Leigh Spinners Mill in Leigh. Used by local groups and communities, it is a great space for Scout/Girl Guide group meetings, workshops or classes. Enquire through hello@spinnersmill.co.uk or alternatively, enquire directly through our website www.spinnersmill.co.uk",N/A,N/A,N/A,N/A
Community Room at Leigh Spinners Mill,N/A,"A space available to hire on Floor 2 of Leigh Spinners Mill in Leigh. Used by local groups and communities, it is a great space for Scout/Girl Guide group meetings, workshops or classes. Enquire through hello@spinnersmill.co.uk or alternatively, enquire directly through our website www.spinnersmill.co.uk","Leigh Spinners Mill, Park Lane, Leigh, Lancashire, WN7 2LB",N/A,N/A,N/A
Cosmos Walking Football (Over 35's),Monday's,"Walking Football is a slow paced, non-contact version of the beautiful game aimed at the over 35's, designed to help you keep an active lifestyle irrespective of your age, as well as getting you back to playing football... Cosmos Walking Football allows you to get…","Moss Lane, Platt Bridge, Wigan, Lancashire, WN2 3TJ",N/A,N/A,N/A
Diamond Community Support Centre CIC,Every weekday except Thursday,"We are open 10:30am-3pm every weekday except Thursday.  We have a £1 pre-owned clothes shop and a donation based cafe where you can get a light lunch or snack.  We also run a food service along with a bank of things, providing essential household items…","16 Eastwell road, Grey rd, Ashton-in-Makerfield, Wigan, Gtr manchester, WN4 9QW",N/A,N/A,N/A
Garswood Hall Bowling and Community Club,N/A,"Community Coffee mornings: Tuesdays 10am-12pm. Bowl and Plate sessions are an opportunity to meet new people, get involved in various activities and enjoy a nutritious meal: Fridays 11am-2pm. Our sessions are volunteer led, we are always on the lookout for volunteers as well as attendees.…","Nicol Road, Bryn, WN4 8LU",N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
Higher Folds Community Centre,N/A,"We exist to promote the physical, social, cultural and economic betterment of the Higher Folds Estate and surrounding areas. Grocery Everyone is welcome at Higher Folds Food Grocery. No membership required Little Library Kerry's Corner is Higher Folds very own 'Little Library.' Available for everyone…","Stirling Close, Leigh, LEIGH, LANCASHIRE, WN7 2UB",N/A,N/A,N/A
Highfield Community Centre,N/A,"A modern building in a quiet location, the Centre offers a large hall for hire as well as office accommodation. The centre is well used by local residents and people from further afield, so perfect if you’re looking for a place to run an event,…",N/A,N/A,N/A,N/A
Ince Community Centre,N/A,"The Centre offers a variety of rooms for hire which can meet the needs of either smaller groups wanting a smaller space, or large meetings and training days wanting the full facility of overhead projector, flipchart etc. The rooms can be set up to meet…",N/A,N/A,N/A,N/A
Leigh South Community Centre,N/A,"This Centre is on Hope Carr Road in the Siddow Common part of Leigh, tucked away on a residential road among houses and flats.Rather like the tardis, this centre looks quite small from the front but is surprisingly large once you get inside! There will…",N/A,N/A,N/A,N/A
