Title,Schedule,Description,Location,Phone,Email,Website
All Ears MHA C.I.C,N/A,"Since 2020, we have specialised in providing educational emotional wellbeing workshops and assemblies to support young people in schools and colleges across Greater Manchester. These are catered to different ages but essentially aim to provide young people with their own toolkit to healthily process their…",N/A,N/A,N/A,N/A
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Beacon Counselling Trust - Gambling Support,N/A,"Free treatment and support to those affected by problematic gambling One of our core services is to offer free treatment and support to those affected by problematic gambling, including partners, family members and friends. Our main office and training facility is based in Liverpool. However,…",0151 226 0696,N/A,N/A,N/A
BEAT Eating Disorders,N/A,"Our national Helpline exists to encourage and empower people to get help quickly, because we know the sooner someone starts treatment, the greater their chance of recovery. People can contact us online or by phone 365 days a year. We listen to them, help them to understand…",0808 8010677 (free phone number),N/A,N/A,N/A
Blessing in Disguise,N/A,"What we do... Blessing in Disguise children’s charity actively raises funds through events and through the kind generosity of its donors, support from the community and local and national businesses.  This enables us to provide a range of essential and special needs equipment, planned activities…","Lilford House, St. Helens Road, Hindley, Wigan, Greater Manchester, WN7 4HG, 01942 316113",N/A,N/A,N/A
Bullying,N/A,"Please take a look at the link below, Wigan Council's LINC2, here you will find information and advice including services you can contact for help.",N/A,N/A,N/A,N/A
Child and Adolescent Mental Health Service (Wigan CAMHS),N/A,"Our Child and Adolescent Mental Health Services - also known as CAMHS - work with young people with emotional, behavioural or mental health difficulties, and their families. Please visit the website below for full information and how to contact them.","Helping Hands Centre, 155 - 157 Manchester Rd, Ince, WIGAN, LANCASHIRE, WN2 2JA, 01942 764473 open 9-5pm, 0800 953 0285 - 24 hour helpline",N/A,N/A,N/A
Child Bereavement UK,N/A,"Child Bereavement UK supports families and educates professionals when a baby or child of any age dies or is dying, or when a child is facing bereavement. Our vision is for all families to have the support they need to rebuild their lives. Please go…",0800 02 888 40,N/A,N/A,N/A
Childline - Calm Zone,N/A,"There are lots of ways to feel calmer. It's about finding what works for you. Try some of our breathing exercises, activities, games and videos to help let go of stress. You can talk about anything. Whether it’s something big or small, our trained counsellors…",0800 1111,N/A,N/A,N/A
Complete Kindness CIC,N/A,Qualified counsellors supporting the community across the Wigan Borough.,N/A,N/A,N/A,N/A
Cruse Bereavement Care,N/A,"Grief is a natural process, but it can be devastating. We are here to support you after the death of someone close.  Hope again  is the youth website of Cruse Bereavement Care. It is a safe place where you can learn from other young people,…",0808 808 1677,N/A,N/A,N/A
Domestic Abuse,N/A,"If you are experiencing domestic abuse from a partner, ex-partner or family member, you can get free and confidential help. Please select the link below for further information, advice and people/services you can contact.",N/A,N/A,N/A,N/A
Eating Disorder Service for Young People,N/A,"Our Young People's Community Eating Disorder Service provides assessment, treatment and support for young people with eating disorders and their families.Our service aims to promote the early detection and treatment of eating disorders through a combination of one-to-one support and family therapy, along with support…",N/A,N/A,N/A,N/A
EDIT (Early Detection and Intervention Team),N/A,Early Detection and Intervention Team (EDIT) is a specialist psychological therapy service that works with young people aged 14 – 35 years who are experiencing distress and symptoms such as: Hearing or seeing things that others cannot Feeling paranoid or suspicious of people or certain…,"Sale Way, LEIGH, WN7 4JY",N/A,N/A,N/A
Every Mind Matters,N/A,"There are little things we can all do to help look after our mental health. Having good mental health helps us relax more, achieve more and enjoy our lives more. We have expert advice and practical tips to help you look after your mental health…",N/A,N/A,N/A,N/A
Family Lives,N/A,"Family Lives is a charity with over three decades of experience helping parents to deal with the changes that are a constant part of family life. We know that many people play active roles in raising children, from dads and mums, grandparents, stepparents and non-resident…",N/A,N/A,N/A,N/A
Family mediation - helping resolve conflict and live better family lives,N/A,"All families experience conflict, sometimes a little extra help is needed to sort it out.  TalkFIRST is a chairty based in Ince providing mediation to families in Wigan, Leigh and the surrpounding areas to aid communication, resolve conflcit helping people feel heard and understood.  If…","Ashland House, Dobson Park Way, Wigan, Lancashire, WN2 2DX, 01942 243620",N/A,N/A,N/A
Harmless,N/A,Please visit the website below for information and support.,N/A,N/A,N/A,N/A
Kooth Online Counselling Service,Counsellors online Mon-Fri 12pm-10pm; Sat-Sun 6pm-10pm. Every day of the year (inc. Christmas Day). Self-help documents and forums 24/7.,"As we are commissioned by the Greater Manchester Health and Social Care Parnership, Kooth.com is free for young people to use and is self-referral, meaning there is no need to visit a GP to access the service. Completely anonymous, it takes just a few minutes to…",07869 264771,N/A,N/A,N/A
Menopause Support Group,"Last Tuesday of the month, 7.30 pm - 9.30 pm","We are a friendly and inclusive group offering support to women, and non-binary individuals, in Wigan and surrounding areas to navigate the maze that is menopause. We provide a safe place to ask questions, listen to others and to gain information and knowledge.  No two…","Hindley, Wigan, WN2 2QJ",N/A,N/A,N/A
Mind,N/A,"We provide advice and support to empower anyone experiencing a mental health problem. We campaign to improve services, raise awareness and promote understanding. We won't give up until everyone experiencing a mental health problem gets support and respect. Every year, one in four of us will experience a mental health problem.…",0300 123 3393,N/A,N/A,N/A
Mind Body Health Wellbeing CIC,Monday to Saturday,"Mind Body Health is a specialised programme that offers tailored mental and physical health services to individuals. The programme's primary goal is to provide personalised support to improve overall well-being. By employing a team of knowledgeable and certified personal trainers, MBH aims to become a…","125, Whelley Road, Wigan, WN1 3PX",N/A,N/A,N/A
MindEd,N/A,"MindEd for Families has been developed in two phases. The first phase, funded by DfE, is intended to support parents and those caring for children and young people in their family when they are concerned about a young person’s mental health or well-being. The second…",N/A,N/A,N/A,N/A
