Title,Schedule,Description,Location,Phone,Email,Website
Action Station Community Shop Ince,Monday - Friday 9-4pmSaturday 10-1pm,"More than a traditional charity shop, bright, tidy space, warm and welcoming, call for a chat or browse. Accepting donations, selling quality pre-loved items and offering volunteering opportunities to people of all backgrounds.","13 Smithy Green, Ince-in-Makerfield, WN2 2AT, WIGAN, Greater Manchester, WN2 2AT",N/A,N/A,N/A
AIM Northwest,N/A,"AIM Northwest provides support through a comprehensive range of services to anyone experiencing or recovering from domestic abuse. We provide support that is hollistic and tailored to meet your needs. Simultaneously, we offer intervention support for perpetrators, focusing on accountability, behavioral change, and fostering healthy…","Park Road, Leigh, WN7 2LB",N/A,N/A,N/A
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Autism Friends Employability Group,Third Thursday of each month,"Get support from Job Centre staff around finding volunteering opportunities or paid work, identifying reasonable adjustments, benefit guidance and employability skills.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Complete Kindness CIC,N/A,Qualified counsellors supporting the community across the Wigan Borough.,N/A,N/A,N/A,N/A
Contact a Family,N/A,"We are Contact, the charity for families with disabled children. We support families with the best possible guidance and information. We bring families together to support each other. And we help families to campaign, volunteer and fundraise to improve life for themselves and others. To…",N/A,N/A,N/A,N/A
DIAS Domestic Violence Centre,"The DIAS Drop In Centre is open Monday, Tuesday and Thursday between 8am-3pm.","DIAS Drop In Centre is open on Monday, Tuesday and Thursday between 8am - 3pm. DIAS works with women and men who are experiencing or recovering from domestic violence and abusive relationships, and helps them to regain control of the situation. We are dedicated to…","38 Rodney House, King Street, Wigan, WN1 1BT",N/A,N/A,N/A
Domestic Abuse,N/A,"If you are experiencing domestic abuse from a partner, ex-partner or family member, you can get free and confidential help. Please select the link below for further information, advice and people/services you can contact.",N/A,N/A,N/A,N/A
Eating Disorder Service for Young People,N/A,"Our Young People's Community Eating Disorder Service provides assessment, treatment and support for young people with eating disorders and their families.Our service aims to promote the early detection and treatment of eating disorders through a combination of one-to-one support and family therapy, along with support…",N/A,N/A,N/A,N/A
Forget Me Not Friends,N/A,"We are a Dementia-Friendly Community Group, meeting on the fourth Saturday of the month between 10 a.m. and 12 noon at the Broadmead Day Centre on Golborne Road, Lowton WA3 2EBWe welcome anyone to join us for a cuppa, a chat, a bite to eat…",N/A,N/A,N/A,N/A
The HUB CIC,N/A,"A home from home day Hub for older adults & those living with Dementia, Learning/Physical disabilities.   Situated close to Leigh town centre in a modern building. We provide a small fun & social environment for older adults and provide essential respite & support for Carers…","Little Rainbows 2 Day Nursery, 30, East Bond Street, Leigh, WN7 1BP, 07983867678, 01942 673327",N/A,N/A,N/A
Leigh Dementia Carers Support Group,Meetings 1st Friday each month - Pensioner's Link,"We are a mutual support group for people with dementia. It is an opportunity to meet and talk to others who fully understand, because they are in the same situation. Attending meetings is a respite opportunity and a time to discuss any immediate concerns. Caring…",N/A,N/A,N/A,N/A
The Lewy Body Society,N/A,The Lewy Body Society is a Wigan based charity registered in England and Wales (number 1114579) and in Scotland (SC047044) whose mission is to fund research into Lewy body dementia and to raise awareness of the disease. DLB is the second most common type of…,"Unity House, Westwood Park, Wigan, WN4 4HE, 01942 914000",N/A,N/A,N/A
Menopause Support Group,"Last Tuesday of the month, 7.30 pm - 9.30 pm","We are a friendly and inclusive group offering support to women, and non-binary individuals, in Wigan and surrounding areas to navigate the maze that is menopause. We provide a safe place to ask questions, listen to others and to gain information and knowledge.  No two…","Hindley, Wigan, WN2 2QJ",N/A,N/A,N/A
Read Easy,N/A,Read Easy provides free and confidential one-to-one reading coaching for adults. For enquiries ring 07823 895338.,N/A,N/A,N/A,N/A
Roots to Wellbeing,N/A,The Roots to Wellbeing course runs for 10 weeks with participants attending 2 days per week providing enrichment sessions delivered by our own staff and locality specialist to enable residents of Wigan and Leigh to be empowered to improve their own mental health thus resulting…,N/A,N/A,N/A,N/A
Shout 85258,N/A,"Shout 85258 is a free, confidential, 24/7 text messaging support service for anyone who is struggling to cope. We launched publicly in May 2019 and we’ve had more than 750000 conversations with people who are anxious, stressed, depressed, suicidal or overwhelmed and who need immediate…",Text SHOUT to 85258,N/A,N/A,N/A
Sibs,"Monday to Friday, 9am - 5pm",Sibs exists to support people who grow up with or have grown up with a disabled brother or sister. It is the only UK charity representing the needs of over half a million young siblings and over one and a half million adult siblings. Sibs…,N/A,N/A,N/A,N/A
Support for Carers,N/A,Please select the link provided for information on the following. What is a carer? How to get support Young carers Parent carers Carers Stories Useful support links and contact,WN2 3BD,N/A,N/A,N/A
Support for Wigan Arrivals Project (SWAP),N/A,"Support for Wigan Arrivals Project supports asylum seekers and refugees who are living in the Wigan Borough. Our vision is for everyone living in Wigan to feel welcome, to be given an equal chance to build a decent life, and to know where and how…","Penson Street Community Centre, Penson Street, WIGAN, WN1 2LP",N/A,N/A,N/A
Survivors of Bereavement by Suicide (SoBS),1st Tuesday of the month,"We help those bereaved by suicide to support each other, at the time of their loss and in the months and years that follow. We are a self-help organisation and we provide a safe, confidential environment in which bereaved people can share their experiences and…",N/A,N/A,N/A,N/A
Think Ahead Community Stroke Group,Open Monday - Friday 9am - 5pm,"We are a support, advice and information Stroke Charity, open to Stroke Survivors and Carers.  We provide peer support telephone buddy calls, Educational Programmes such as our Stepping Stones and Well Being sessions and a variety of support - activity groups on a weekly, fortnightly…","Ashland House, Manchester Road, Ince, Wigan, WN2 2DX",N/A,N/A,N/A
WHAG,Monday - Friday,"WHAG is a domestic abuse charity set up in 1981 with services all across the North West providing housing and domestic abuse services. Our charitable aims are to work with women who are homeless or whose housing situation is not secure, and to work with…",N/A,N/A,N/A,N/A
Wigan and Leigh Community Charity,Monday to Friday,"We provide support, including: - Accommodation - This is via our 2 main hubs at Platt Bridge Community Zone (Abram Ward) and Tudor House (Hindley) - Community Organising training - Education - We support the provision of Social Enterprise education to both Primary Schools and…","81 Platt Bridge Community Zone, Embrace Wigan And Leigh Ribble Road, Ribble Road, Platt Bridge, Wigan, Wigan, Greater Manchester, WN2 5EG",N/A,N/A,N/A
Wigan and Leigh People First,N/A,Wigan & Leigh People First is a Self-Advocacy organisation for People with Learning Disabilities. We get involved in a range of local and regional events and consultations which we think could be part of making life better for people with learning disabilities. Established as a…,"1-3, Heath Street, Golborne, Golborne, Greater Manchester, WA3 3BN",N/A,N/A,N/A
Young Epilepsy,open Monday to Friday 9am till 5pm,"Childhood epilepsy can be frightening, isolating and often a misunderstood condition.   At Young Epilepsy work with children and young people with epilepsy, to ensure their voices are heard and their rights are protected. We campaign for children and young peoples rights. We deliver health services, training…",N/A,N/A,N/A,N/A
