Title,Schedule,Description,Location,Phone,Email,Website
Citizens Advice Wigan Borough (Leigh office),Monday - Thursday 10am - 1pm,"Citizens Advice Wigan Borough provides free, independent, confidential,  impartial advice and information.  We can help with money problems, court forms, benefits, work, family matters and housing.   You can access our services in person, by telephone or via email, full details of how to contact us…","Suite 2.1 Magnum House, 33 Lord Street, Leigh, WN7 1BY",N/A,N/A,N/A
Citizens Advice Wigan Borough (Wigan office),Monday - Thursday 10am - 1pm,"Citizens Advice Wigan Borough provides free, independent, confidential,  impartial advice and information.  We can help with money problems, court forms, benefits, work, family matters and housing.   You can access our services in person, by telephone or via email, full details of how to contact us…","Wigan Life Centre North, The Wiend, Wigan, Wigan, LANCASHIRE, WN1 1NH",N/A,N/A,N/A
Compassion in Action,N/A,"Compassion in Action are a registered charity based in the Wigan Borough. The charity began back in 2006 as a coffee morning at St Mary’s church hall, Lowton – creating a meeting place for young mums, elderly residents and those seeking friendship and support. Due to the amount…","9 & 17 Oaklands Road, Lowton, WARRINGTON, WA3 2LA",N/A,N/A,N/A
Information and Advice (Age UK Wigan Borough),N/A,From April 2022 and March 2023 we have assisted households across Wigan Borough to claim over £2 million that would have otherwise been unclaimed benefits. This resulted in some households having a dramatic increase in their weekly income as well as being exempt from paying…,"74-80 Hallgate, Hallgate, Wigan, WN1 1HP",N/A,N/A,N/A
Legal Aid Agency,N/A,"We have a team of around 1,250 staff and offices in towns and cities across England and Wales. Our head office is in London. We are responsible for: making sure legal aid services from solicitors, barristers and the not-for-profit sector are available to the general…",N/A,N/A,N/A,N/A
Money Helper,N/A,"MoneyHelper joins up money and pensions guidance to make it quicker and easier to find the right help, MoneyHelper brings together the support and services of three government-backed financial guidance providers: the Money Advice Service, the Pensions Advisory Service and Pension Wise. Free and impartial money…",N/A,N/A,N/A,N/A
Personal Budgets and Direct Payments,N/A,"A personal budget is an amount of money* given to you to pay for any care services you need. The amount is worked out after your social care assessment has found out what help you need, a support plan has been written and your financial assessment has identified if you are eligible…",WN3 4HH,N/A,N/A,N/A
The Storehouse Project,Open Monday to Friday 9:00 till 1:00,"The Storehouse Project is a registered chairity not in its 12th year. At the heart of the Storehouse is our Christian values and this underpins all the work we carry out. We currently provide furniture, food, toiletires and clothing to those most in need in…","31 Crank Road, Billinge, Wigan, Wigan, WN5 7DT, 07816623612",N/A,N/A,N/A
Unify Credit Union - Leigh,"10-3 Monday, Tuesday, Thursday, Friday. 10-1 on Wednesdays.","For more than 30 years Unify Credit Union has served the community helping people to save, borrow and plan for tomorrow. Unify Credit Union offers you a local, not-for-profit alternative to a high street bank. Members put their savings into a Unify Savings account, and we…","90, Bradshawgate, Leigh, Greater Manchester, WN7 4NP, 01942 245656",N/A,N/A,N/A
Unify Credit Union - Wigan,"10am -3pm Monday, Tuesday, Thursday, Friday. 10am -1pm on Tuesdays. 10am-12noon on Saturdays.","For more than 30 years Unify Credit Union has served the community helping people to save, borrow and plan for tomorrow. Unify Credit Union offers you a local, not-for-profit alternative to a high street bank. Members put their savings into a Unify Savings account, and we…","21, Crompton Street, Wigan, Greater Manchester, WN1 1BN, 01942 245656",N/A,N/A,N/A
Wigan Family Information Service,N/A,"Information For Parents / Carers If you are looking for childcare, holiday care or breakfast and after school care, please go to the Families section on Our Town Directory to see what is available in your local area. Wigan Family Information Service (FIS) can help with many…",N/A,N/A,N/A,N/A
