Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Ashton Athletic FC,N/A,Football for under 7's to under 16's teams. For full information please visit the website below.,"Brocstedes Park, Brocstedes Road, Ashton-in-makerfield, Wigan, WN4 0NR, 07842 788193",N/A,N/A,N/A
Ashton Bears ARLFC,N/A,For information and contact details please visit their website below.,"Low Bank Road, Ashton-in-makerfield, Wigan, WN4 9RP",N/A,N/A,N/A
Ashton Leisure Centre,Days and Times open - See website link below,A number of local sports clubs and leagues use the facility as a training venue. For more details please go to the webiste link below.,"Old Road, Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 9TP, 01942 720826",N/A,N/A,N/A
Ashton Park JFC,N/A,Football for under 5's to under 11's Full information on website below.,"St. Oswalds Primary School, Council Avenue, Ashton-in-makerfield, Wigan, WN4 9AZ",N/A,N/A,N/A
Aspull Juniors Football Club,Please contact the club for details,"Aspull Juniors have teams for all ages, genders and abilities from 4 years old to open age, including girls teams at U10 & U11 age groups. Please go to the website below for full details.","Woods Road, Aspull, Wigan, WN2 1PJ",N/A,N/A,N/A
Astley & Tyldesley FC,N/A,"The club provides opportunities for young players from reception age with fun themed game sessions, and 6 - 18 years old with friendly games progressing to league and cup based competitions In 2008 we were delighted in setting up our first girl’s team and hope…","Astley, Manchester, M29 7DW",N/A,N/A,N/A
Astley and Tyldesley Collieries Cricket Club,Please contact the club for details,"If you are interested in joining our progressive and friendly club, we are always on the lookout for quality and committed cricketers at all levels.  Take a look at our website for more information.","Meanley Road, Tyldesley, MANCHESTER, M29 7DW, 01942 883067",N/A,N/A,N/A
Astley and Tyldesley Cycle Speedway Club,N/A,"Speedway is a fast, exciting form of cycling. The club meet regularly and compete with other clubs all over the country.  Have fun at the exciting sport of Cycle Speedway, on our superb race track. See if you can make it onto one of Astley…","Meanley Road, Tyldesley, MANCHESTER, M29 7DW",N/A,N/A,N/A
Astley V.I.P Amateur Boxing Club,N/A,"We are boxing club based in the town of Astley, Wigan. We currently accept new members from 9 years of age. New members are welcome on Monday and Friday nights. For more information and contact details please go to the website below.",N/A,N/A,N/A,N/A
Atherton Collieries FC,N/A,Please visit their website for information and contact details.,"Alder Street, Atherton, Manchester, M46 9EY",N/A,N/A,N/A
Atherton Cricket Club,N/A,Please go to the website provided for information and to contact if you are interested in joining.,"Higham Park, Eckersley Fold Lane, Atherton, Manchester, M46 0RQ",N/A,N/A,N/A
Atherton Town FC,N/A,For information and contact details please visit their website.,"Howe Bridge Sports Centre, Leigh Road, Atherton, Manchester, M46 0PJ",N/A,N/A,N/A
Billinge Juniors FC,N/A,"The Club is affiliated to Lancashire FA who provide: governance, guidance and advice. Please visit our website for full information.","Rainford Road, Billinge, Wigan, WN5 7PG",N/A,N/A,N/A
Black Scorpion Karate,"Monday 10-11, Monday 4-5, Wednesday 6-7, Thursday 6.30-7.30, Friday 4-5, Sunday 10-11","Step into the welcoming world of Black Scorpion Karate Club, a family-owned and operated Shotokan club dedicated to fostering inclusivity and personal growth. Our mission is to create a supportive environment where individuals of all ages and abilities feel embraced and empowered. As a new…","Unit B6a&B6b Pemberton Business Centre, Richmond Hill, Pemberton, Wigan, Greater Manchester, WN5 8AA",N/A,N/A,N/A
Captain's Lane Community Centre,N/A,"Built in the 1960s, the centre served as a youth club until 1995 when it was in danger of closure. Through the efforts of committed members and local volunteers it was established as an independent community organisation, and continues to provide facilities for a variety…","Captain's Lane (off Bolton Road), Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 8PG, 07982 929507",N/A,N/A,N/A
Children in Care Activity Groups,N/A,"If you're in care and aged 7-12 (Junior) or 13-19 (Senior) you're welcome to come along to one of these groups in your local area. Junior groups offer activities such as archery, arts and crafts, cookery and games. The senior group gives you the chance to influence…",01942 487100,N/A,N/A,N/A
Cosmos Walking Football (Over 35's),Monday's,"Walking Football is a slow paced, non-contact version of the beautiful game aimed at the over 35's, designed to help you keep an active lifestyle irrespective of your age, as well as getting you back to playing football... Cosmos Walking Football allows you to get…","Moss Lane, Platt Bridge, Wigan, Lancashire, WN2 3TJ",N/A,N/A,N/A
Culcheth Athletic FC,N/A,"The Club provides the opportunity for children from the ages of under 7 up to the ages of under 17 from the Culcheth, Glazebury, Croft, Winwick, Birchwood, and Lowton areas of North East Cheshire to play football in one of our 23 Teams.  The emphasis…","The Oaks Playing Fields (Opposite Taylor Business Park), Culcheth, Warrington, WA3 6BN",N/A,N/A,N/A
Embrace Gaming Group,Mondays 12.30 - 2pm,"Member play board games, play on games consoles and discuss sports.","Platt Bridge Community Zone, 81 Ribble Road, Platt Bridge, Wigan, WN2 5EG, 01942 233323",N/A,N/A,N/A
F.C. Britannia,N/A,It does this by providing well organised sessions with qualified coaches. We run from Britannia Bridge Community field at Britannia Bridge school in Lower Ince For more information please visit their Facebook page below.,"Winifred Street, Ince, WIGAN, WN3 4SD",N/A,N/A,N/A
Garswood Hall Bowling and Community Club,N/A,"Community Coffee mornings: Tuesdays 10am-12pm. Bowl and Plate sessions are an opportunity to meet new people, get involved in various activities and enjoy a nutritious meal: Fridays 11am-2pm. Our sessions are volunteer led, we are always on the lookout for volunteers as well as attendees.…","Nicol Road, Bryn, WN4 8LU",N/A,N/A,N/A
Get a Be Well card,N/A,"Everyone booking or taking part in any activity at our 7 leisure centres in Wigan and Leigh needs a Be Well card (previously known as a Lifestyle Card). Activities include hiring sports courts, taking swimming lessons and joining exercise classes. We also provide you with…",N/A,N/A,N/A,N/A
Get fit for free,N/A,Exercise guidelines and workouts to help improve your fitness and wellbeing. Take a look at the website below for information and ideas on what you can do to Get Fit For Free.,N/A,N/A,N/A,N/A
Goju Ryu Karate Club,N/A,Essential Self Defence for – Adults – Teens – Cadets Great for Families – Confidence – Achievement – Friends – Fun Check out our web site below for more information.,"Robin Park Indoor Sports Centre, Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
