Title,Schedule,Description,Location,Phone,Email,Website
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Autism Friends Employability Group,Third Thursday of each month,"Get support from Job Centre staff around finding volunteering opportunities or paid work, identifying reasonable adjustments, benefit guidance and employability skills.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Career Support for the Physical Activity Sector,Open Monday to Friday from 9am until 5:30pm,"Active Careers is a free service based in the North West that operates within the health, fitness and sport sector. We connect individuals looking for work who want to pursue an ""Active Career"" with employers, both small and large. Employers can post job roles for…","Stadium Way, Wigan, Lancarshire, WN5 0UN",N/A,N/A,N/A
Find a job -GOV.UK,N/A,"Find full or part-time jobs in England, Scotland and Wales. Use the ‘Find a job’ service to search and apply for jobs. This service has replaced Universal Jobmatch. Find a job   Further information that may be useful: Find a job - GOV.UK (www.gov.uk) Become…",N/A,N/A,N/A,N/A
greater jobs,N/A,greater.jobs is a careers and recruitment website managed by a collaboration of public sector employers led by Wigan Council who are responsible for this greater.jobs Careers and Recruitment website.,"WIGAN, WN1 1YN",N/A,N/A,N/A
Jobcentre Plus,N/A,"Jobcentre Plus is part of the Department for Work and Pensions. Jobcentre Plus provides advice and information on a range of employment and training issues for people of working age. Helping find the right kind of jobs: full time or part time, temporary or permanent. Provides…","71 King Street, WIGAN, WN1 1EA, 0800 169 0190",N/A,N/A,N/A
"Learning, courses and training",Various,"No matter your age, there are learning, courses and training options for everyone.  Visit the website below to find out what's on offer.",N/A,N/A,N/A,N/A
National Careers Service,N/A,"The National Careers Service provides high quality, free and impartial careers advice, information and guidance. Our service is available to anyone aged 13+ no matter what stage of the careers journey you’re at. Please visit their website below for more information.",0800 100 900,N/A,N/A,N/A
Supporting Skills and Futures Team,N/A,"The Supporting, Skills and Futures Team consists of four areas which are:  Preparing for Adulthood The Preparing for Adulthood Life Coach service deliver a personalised approach to supporting young people within local specialist schools, focusing on people from year 9 to help to define goals…",N/A,N/A,N/A,N/A
Wigan Wellbeing & Resilience Services,Monday to Friday 9am to 5pm,Wigan Wellbeing & Resilience has been commissioned by Wigan Council and under the umbrella of Creative Support to provide a borough wide tenancy and wellbeing support service for adults and young people with a wide range of support needs.  The support service is based in…,"Olympic House, Platt Street, Platt Bridge, Wigan, WN2 5DA",N/A,N/A,N/A
Working Families,N/A,"We provide free legal advice to parents and carers on their rights at work. We give employers the tools they need to support their employees while creating a flexible, high-performing workforce. And we advocate on behalf of the UK’s 13 million working parents, influencing policy through campaigns informed by ground-breaking research.…",N/A,N/A,N/A,N/A
