Title,Schedule,Description,Location,Phone,Email,Website
Action for Children,N/A,"If families and relationships are strengthened, children who were previously on the edge of being placed in care are able to stay at home.  We work with each member of the family with all children in the household receive care and attention, and where necessary…","Poolstock Lane, WIGAN, WN3 5HL, 0300 123 2112",N/A,N/A,N/A
AIM Northwest,N/A,"AIM Northwest provides support through a comprehensive range of services to anyone experiencing or recovering from domestic abuse. We provide support that is hollistic and tailored to meet your needs. Simultaneously, we offer intervention support for perpetrators, focusing on accountability, behavioral change, and fostering healthy…","Park Road, Leigh, WN7 2LB",N/A,N/A,N/A
Citizens Advice Wigan Borough (Leigh office),Monday - Thursday 10am - 1pm,"Citizens Advice Wigan Borough provides free, independent, confidential,  impartial advice and information.  We can help with money problems, court forms, benefits, work, family matters and housing.   You can access our services in person, by telephone or via email, full details of how to contact us…","Suite 2.1 Magnum House, 33 Lord Street, Leigh, WN7 1BY",N/A,N/A,N/A
Citizens Advice Wigan Borough (Wigan office),Monday - Thursday 10am - 1pm,"Citizens Advice Wigan Borough provides free, independent, confidential,  impartial advice and information.  We can help with money problems, court forms, benefits, work, family matters and housing.   You can access our services in person, by telephone or via email, full details of how to contact us…","Wigan Life Centre North, The Wiend, Wigan, Wigan, LANCASHIRE, WN1 1NH",N/A,N/A,N/A
Compassion in Action,N/A,"Compassion in Action are a registered charity based in the Wigan Borough. The charity began back in 2006 as a coffee morning at St Mary’s church hall, Lowton – creating a meeting place for young mums, elderly residents and those seeking friendship and support. Due to the amount…","9 & 17 Oaklands Road, Lowton, WARRINGTON, WA3 2LA",N/A,N/A,N/A
DIAS Domestic Violence Centre,"The DIAS Drop In Centre is open Monday, Tuesday and Thursday between 8am-3pm.","DIAS Drop In Centre is open on Monday, Tuesday and Thursday between 8am - 3pm. DIAS works with women and men who are experiencing or recovering from domestic violence and abusive relationships, and helps them to regain control of the situation. We are dedicated to…","38 Rodney House, King Street, Wigan, WN1 1BT",N/A,N/A,N/A
Family mediation - helping resolve conflict and live better family lives,N/A,"All families experience conflict, sometimes a little extra help is needed to sort it out.  TalkFIRST is a chairty based in Ince providing mediation to families in Wigan, Leigh and the surrpounding areas to aid communication, resolve conflcit helping people feel heard and understood.  If…","Ashland House, Dobson Park Way, Wigan, Lancashire, WN2 2DX, 01942 243620",N/A,N/A,N/A
Family Rights Group,N/A,"Family Rights Group promotes policies and practices that keep children safe within their family and strengthen the family and community networks of those children who cannot live at home. We campaign for families to have their voice heard, be treated fairly and get help early to…",N/A,N/A,N/A,N/A
Health Outreach and Inclusion Service NHS,N/A,"What we do…The Health Outreach and Inclusion Service tackles health inequalities within the most vulnerable communities in society. Our main function is to support individuals and families, particularly those from disadvantaged groups who often have difficulty accessing Services.  The Service works with vulnerable migrants, gypsies…",N/A,N/A,N/A,N/A
Information and Advice (Age UK Wigan Borough),N/A,From April 2022 and March 2023 we have assisted households across Wigan Borough to claim over £2 million that would have otherwise been unclaimed benefits. This resulted in some households having a dramatic increase in their weekly income as well as being exempt from paying…,"74-80 Hallgate, Hallgate, Wigan, WN1 1HP",N/A,N/A,N/A
Legal Aid Agency,N/A,"We have a team of around 1,250 staff and offices in towns and cities across England and Wales. Our head office is in London. We are responsible for: making sure legal aid services from solicitors, barristers and the not-for-profit sector are available to the general…",N/A,N/A,N/A,N/A
Money Helper,N/A,"MoneyHelper joins up money and pensions guidance to make it quicker and easier to find the right help, MoneyHelper brings together the support and services of three government-backed financial guidance providers: the Money Advice Service, the Pensions Advisory Service and Pension Wise. Free and impartial money…",N/A,N/A,N/A,N/A
WHAG,Monday - Friday,"WHAG is a domestic abuse charity set up in 1981 with services all across the North West providing housing and domestic abuse services. Our charitable aims are to work with women who are homeless or whose housing situation is not secure, and to work with…",N/A,N/A,N/A,N/A
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
