Title,Schedule,Description,Location,Phone,Email,Website
Action for Children,N/A,"If families and relationships are strengthened, children who were previously on the edge of being placed in care are able to stay at home.  We work with each member of the family with all children in the household receive care and attention, and where necessary…","Poolstock Lane, WIGAN, WN3 5HL, 0300 123 2112",N/A,N/A,N/A
Alternative Education Provision,N/A,Our commissioned provider for alternative education provision is Three Towers Alternative Provision Academy. The academy offers special support to young people from 6 to 16 years old who are having difficulties in school. Please select the link below for full information and who to contact.…,"WN2 3RY, 01942 486143",N/A,N/A,N/A
Family Lives,N/A,"Family Lives is a charity with over three decades of experience helping parents to deal with the changes that are a constant part of family life. We know that many people play active roles in raising children, from dads and mums, grandparents, stepparents and non-resident…",N/A,N/A,N/A,N/A
Family mediation - helping resolve conflict and live better family lives,N/A,"All families experience conflict, sometimes a little extra help is needed to sort it out.  TalkFIRST is a chairty based in Ince providing mediation to families in Wigan, Leigh and the surrpounding areas to aid communication, resolve conflcit helping people feel heard and understood.  If…","Ashland House, Dobson Park Way, Wigan, Lancashire, WN2 2DX, 01942 243620",N/A,N/A,N/A
Family Rights Group,N/A,"Family Rights Group promotes policies and practices that keep children safe within their family and strengthen the family and community networks of those children who cannot live at home. We campaign for families to have their voice heard, be treated fairly and get help early to…",N/A,N/A,N/A,N/A
FFLAG,Please contact for details,"FFLAG is dedicated to supporting parents and their gay, lesbian and bisexual sons and daughters, helping parents understand, accept and support their family members with love and pride. Visit the webiste below for full information.",across the north west,N/A,N/A,N/A
Gingerbread,N/A,"We want a society in which single parent families are treated equally and fairly. To get there, we provide information to help single parents support themselves and their family. We run programmes to equip single parents with the skills and opportunities to gain employment. And…",N/A,N/A,N/A,N/A
Maternity Action,N/A,"Maternity Action is the UK’s maternity rights charity dedicated to promoting, protecting and enhancing the rights of all pregnant women, new mothers and their families to employment, social security and health care. We empower mums and dads We offer free advice for mums and dads worried…",N/A,N/A,N/A,N/A
Mental Health Foundation - Parenting and mental health,N/A,"Many parents with mental health problems can care for their children in a safe and loving way. But sometimes you might need extra support from family, friends or healthcare professionals to get you through difficult times. There’s no shame in needing extra help as a…",N/A,N/A,N/A,N/A
Mums in the Know (Families),N/A,"Find all the information you need to get the most out of family life so you can rely on us for upto date information on local family and children's events, activities, clubs and classes, holiday activities, children's parties, eating out, local services and much,…",N/A,N/A,N/A,N/A
Support for Carers,N/A,Please select the link provided for information on the following. What is a carer? How to get support Young carers Parent carers Carers Stories Useful support links and contact,WN2 3BD,N/A,N/A,N/A
Wigan and Leigh Carers Centre (WLCC),Open Monday to Friday from 9 am until 4.30 pm,Carers are at the heart of everything we do.  We care deeply about making it our mission to make a positive difference to the lives of both young and adult carers in the Wigan and Leigh Borough.   Are you an unpaid / unwaged Carer?…,"3-5, Frederick Street, Hindley, Wigan, Greater Manchester, WN2 3BD, 01942 697885",N/A,N/A,N/A
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
Wigan Family Information Service,N/A,"Information For Parents / Carers If you are looking for childcare, holiday care or breakfast and after school care, please go to the Families section on Our Town Directory to see what is available in your local area. Wigan Family Information Service (FIS) can help with many…",N/A,N/A,N/A,N/A
Working Families,N/A,"We provide free legal advice to parents and carers on their rights at work. We give employers the tools they need to support their employees while creating a flexible, high-performing workforce. And we advocate on behalf of the UK’s 13 million working parents, influencing policy through campaigns informed by ground-breaking research.…",N/A,N/A,N/A,N/A
