Title,Schedule,Description,Location,Phone,Email,Website
2school for Afterschool - Leigh (Term Time),Tuesday 3:30-4:30pm,"Whilst enjoying a range of activities to explore with new friends, we will offer homework help, a chance to share your thoughts for the day and some games to pass the time! For Open Age years. Tuesday's @ 3-30-4:30pm Drop In","Westleigh Start Well Family Centre, Westleigh Lane, Leigh, Leigh, WN7 5NJ, 01942 777705",N/A,N/A,N/A
ABC Childcare at St Michaels,N/A,"The manager, Diane, and her assistant, Julie both have many years experience working with children and provide a caring and nurturing environment for every child in after-school club in term time only. Our prices are competitive and we allow some flexibility on booking in and…","Leigh Road, Atherton, M46 0PA, 07495 334579",N/A,N/A,N/A
ABC Childcare@ Ince Start Well Centre - After School Club,N/A,"ABC Childcare is a small private nursery situated in the Start Well Family centre of Ince. We have provided childcare to the local community since 2008.  We offer 24 places to the local schools for after-school club care between the hours of 3:15pm and 6:00pm, term time…","Charles Street, Ince, Wigan, WN2 2AL, 01942 767503 EXT1, 07495 334582",N/A,N/A,N/A
ABC Private Day Nursery - Out of School and Holiday Club,N/A,"We are a family business, please contact us for information regarding before, after school or holiday childcare","235, Orrell Road, Orrell, Wigan, WN5 8LY, 01942 222 001",N/A,N/A,N/A
Abigail Heaton,N/A,"I work along side my husband Gary who is also an Ofsted registered Childminder. We offer arts & crafts, baking and many activites to enable childcare to learn through play. We have a large selection of toys and games for all ages. We have a good outside space…","Orrell, Wigan, WN5, 01695 363569, 07906 628 158",N/A,N/A,N/A
Amanda McMahon (Ladybugs Childminding),N/A,Lovely home setting with large adventure garden and a family-friendly dog. Term-time early years places and before-and-after-school places for Garrett Hall available.,"Tyldesley, Wigan, Greater Manchester, M29, 07578 578612, 0161 280 2073",N/A,N/A,N/A
Andrea Stanley,N/A,"Hello, my name is Andrea. I am a registered Childminder based in the Shevington area of Wigan. We are a family of four (which includes my 22 year old twins).  I provide a warm, loving and safe environment for every unique child in my care. We…","Shevington, Wigan, Lancs, WN6, 07927662232, 01257433339",N/A,N/A,N/A
Anita Woodburn,N/A,"I have been a childminder since 2003, my qualifications are in line with Ofsted requirement and in accordance to the Early Years Statutory Framework (EYFS). In my setting I offer a large range of indoor activities. Children have access at all times to toys for…","Leigh, WN7, 01942 517975, 07929 019 762",N/A,N/A,N/A
Appy Little Plums Ltd,N/A,"Appy Little Plums Ltd Day Nursery is a family run business managed by owner Vicky Halliwell. It opened in January 2015 and operates 4 rooms with associated facilities from a converted community centre in the heart of Westleigh, Lancashire. Children are cared for all on…","The Hall, Alma Street, Leigh, WN7 5JL, 01942 602010",N/A,N/A,N/A
Appy Little Plums Ltd - Breakfast and After School Club,N/A,Appy Little Plums Ltd Day Nursery is a family run business managed by owner Vicky Halliwell. It opened in January 2015 and offers breakfast and after-school services for 3 local schools. The nursery is registered on the Early Years Register.  Children come from a wide…,"The Hall, Alma Street, Leigh, WN7 5JL, 01942 602010",N/A,N/A,N/A
Astley Nature Kindergarten - Breakfast and After School Club,N/A,Astley Nature Kindergarten is housed in a stunning detached property set in over an acre of grounds. Providing childcare for children from 6 weeks to 11 years of age. Our property has been carefully extended and refurbished retaining the original features and character whilst creating a…,"Tyldesley, Manchester, M29, 01942 897 739",N/A,N/A,N/A
Atherton St George's CE Primary School - Breakfast Club,N/A,"St George's CE Primary School's breakfast club is for children who attend our school. Free of charge Breakfast Club, accessible for all children from Nursery to Year 6. Funded by Greggs Foundation and supported by Warburtons bread donations. Whole School Toast provision and healthy breakfast…","Derby Street, Atherton, Wigan, M46 0HJ, 01942 883971",N/A,N/A,N/A
The Avenue Private Day Nursery,N/A,"Welcoming children from a range of different ages, from six weeks to four years old, The Avenue Private Day Care provides fantastic childcare services to suit you, your child and your schedule. If you’re looking for a nursery in Leigh or surrounding areas that boast…","The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
The Avenue Private Day Nursery - Out of School Care,N/A,Look no further than The Avenue Private Day Nursery in Leigh for entertaining after-school clubs and day care. These are available for children aged 4 to 11 years old and they can stay with us before or after school. Your child is able to continue…,"Avenue Private Day Nursery, The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
Beech Hill Community Primary - Out of School Care,N/A,If you are interested in a place please contact Beech Hill Community Primary School using the details below. Please click the link to view our latest Ofsted Report.,"Netherby Road, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Bernadette Hounslea (Buddies Childcare),N/A,"I’m an Ofsted registered Childminder, I support the EYFS (Early Years Foundation Stage) curriculum. Based in Astley, with Tyldesley Primary School a two minute walk away. Over 20 years childcare experience. I accept childcare vouchers, I'm registered to take Tax Free Childcare and can help you…","Astley, Manchester, Lancashire, M29, 01942 895683, 07707029633",N/A,N/A,N/A
Breakfast Club At Bickershaw CE Primary School,N/A,8:00am to 8:50am every morning in the school hall. £3.50 per session. Free to children eligible to pupil premium. Please visit our website for more information. Ofsted Report,"Bickershaw Lane, Bickershaw, WIGAN, LANCASHIRE, WN2 4AE, 01942 866317",N/A,N/A,N/A
