Title,Schedule,Description,Location,Phone,Email,Website
Abigail Heaton,N/A,"I work along side my husband Gary who is also an Ofsted registered Childminder. We offer arts & crafts, baking and many activites to enable childcare to learn through play. We have a large selection of toys and games for all ages. We have a good outside space…","Orrell, Wigan, WN5, 01695 363569, 07906 628 158",N/A,N/A,N/A
Alison Johnson,N/A,,"Hawkley Hall, Wigan, WN3, 07709371621",N/A,N/A,N/A
Amanda Holt,N/A,"Hi, my name is Manda. I am married with three children. One who is grown up, and two who are aged almost twenty and seventeen, currently at University and college. I have worked in childcare for twenty one years altogether, twelve years at a busy…","Ashton-in-makerfield, Wigan, WN4, 07914 953382",N/A,N/A,N/A
Amanda McMahon (Ladybugs Childminding),N/A,Lovely home setting with large adventure garden and a family-friendly dog. Term-time early years places and before-and-after-school places for Garrett Hall available.,"Tyldesley, Wigan, Greater Manchester, M29, 07578 578612, 0161 280 2073",N/A,N/A,N/A
Andrea Stanley,N/A,"Hello, my name is Andrea. I am a registered Childminder based in the Shevington area of Wigan. We are a family of four (which includes my 22 year old twins).  I provide a warm, loving and safe environment for every unique child in my care. We…","Shevington, Wigan, Lancs, WN6, 07927662232, 01257433339",N/A,N/A,N/A
Angela Coats - Young at Heart Childminding,N/A,"Young at Heart Childminding was first established in Wigan in 2014, as an Ofsted registered childminder. My name is Angela Coats, I have over 30 years' experience of working in childcare. I am level 4 qualified in childcare and early years. I have up-to-date mandatory…","Abram, Wigan, Greater Manchester, WN2, 01942 865716",N/A,N/A,N/A
Angela Marie Cokayne,N/A,"Ofsted registered Childminder since 2009, Graded 'Good' at last inspection in January 2023. I hold a relevant early education qualification at level 3. My setting operates all year round, from 8:00am to 5:00pm, Tuesday to Friday, except for bank holidays and family holidays. I provide…","Atherton, Manchester, M46, 01942 897884, 07782 337148",N/A,N/A,N/A
Anita Woodburn,N/A,"I have been a childminder since 2003, my qualifications are in line with Ofsted requirement and in accordance to the Early Years Statutory Framework (EYFS). In my setting I offer a large range of indoor activities. Children have access at all times to toys for…","Leigh, WN7, 01942 517975, 07929 019 762",N/A,N/A,N/A
Anne Ditchfield,N/A,I have been a registered childminder for over 30 years. I have four grown up children of my own and three grandchildren. Previous to childminding we fostered a range of children. I can offer childcare to a number of children ranging between 6 weeks onwards.…,"Atherton, MANCHESTER, Lancashire, M46, 01942 895724, 07811 359006",N/A,N/A,N/A
Bernadette Hounslea (Buddies Childcare),N/A,"I’m an Ofsted registered Childminder, I support the EYFS (Early Years Foundation Stage) curriculum. Based in Astley, with Tyldesley Primary School a two minute walk away. Over 20 years childcare experience. I accept childcare vouchers, I'm registered to take Tax Free Childcare and can help you…","Astley, Manchester, Lancashire, M29, 01942 895683, 07707029633",N/A,N/A,N/A
Buckeroo's Childminding,N/A,"I am Nicola form Buckeroo's Childminding Service, Astley. It has been my ambition since I qualified as a Nursery Nurse over 20 years ago to become a childminder. Apart from the vast experience of being a mum to my adorable daughter's Sophia, aged 13 and…","Tyldesley, Manchester, M29, 07971 811 369",N/A,N/A,N/A
Carol Turner,N/A,I have been childminding since 2004 and offer a wide range of indoor and outdoor activities. I work with other childminders to provide the best that I can for children and have attended lots of courses and gained Level 3 NVQ in Childcare. I promote…,"Tyldesley, Manchester, M29, 01942 873725, 07746 437744",N/A,N/A,N/A
Cheryl Southworth,N/A,"I am an experienced childminder with children of my own aged, 11, 5 and 3 years old. I have worked in 2 'Outstanding' nurseries in the past and I have great knowledge of the EYFS (Early Years Foundation Stage). I organise fun days out in…","Wigan, WN3, 07889 549952",N/A,N/A,N/A
Cheryl Swadkins,N/A,"I set up my childminding service in 2003 with the intention of providing a fun, happy and secure day care service for children.  Here you will find a nurturing and stimulating environment for children of all ages. I do not operate as a nursery, I…","Goose Green, Wigan, WN3",N/A,N/A,N/A
Christelle Simmons,N/A,"I came to realise that I have a natural aptitude for providing fun and learning for little ones, when I became a first time mum at the tender age of 40yrs old. I started as a volunteer in my daughter’s nursery and worked my way…","Orrell, Wigan, WN5",N/A,N/A,N/A
Christina Riley (Little Stars Childcare),N/A,"We live in Winstanley, and currently support families attending Winstanley Community Primary School and St Aidan’s Catholic Primary School. Children can be dropped off at our home from 7am spending a little time with friends then off to school for 9am. After their school day,…","Wigan, WN3, 07921 822503",N/A,N/A,N/A
Claire Burrows,N/A,"I have been a registered childminder since 1996. Every child in my setting is happy, secure, valued and confident. I value every child as a unique individual who enjoys learning and thinking for her / himself. I provide a supportive and secure environment in which…","Marus Bridge, WIGAN, Lancashire, WN3, 07752 579 105",N/A,N/A,N/A
Claire Hampson,N/A,"I have been working with children since 1992. I worked in a daycare setting until 2000, when I started childminding. I have a NVQ Level 3 in childcare. I have a son, and a black Labrador. We visit local toddler groups, go swimming, go to…","Atherton, Manchester, M46, 01942 393030, 07800 579 291",N/A,N/A,N/A
