Title,Schedule,Description,Location,Phone,Email,Website
A-Stars Early Education,N/A,"A-Stars Early Education is an early years educational facility in the Pemberton area, with close links to the M6/M58 motorways. There is also access via Pemberton train station. We are led by a team of highly qualified and experienced staff. Our director (Anna) has over…","Leopold Street, Pemberton, Wigan, Lancashire, WN5 8EF, 01942 211441",N/A,N/A,N/A
ABC Castle Nursery,N/A,"Our nursery is a family run business with a great family feel throughout. We offer a safe, secure environment for all our children. Safeguarding is paramount, and every one of us has a duty of care. We provide healthy meals and take all dietary requirements seriously.…","95, Church Street, Leigh, Lancashire, WN7 1AZ, 01942 707767",N/A,N/A,N/A
ABC Childcare @ Atherton Family Hub,N/A,"ABC Childcare is situated in Atherton Family Hub Centre, in the Atherton area of Greater Manchester. The Atherton Family Hub Centre, is attached to Meadowbank County Primary School. The building comprises of a purpose-built ground floor building constructed to meet disability discrimination act requirements. As a setting we work in…","Family Hub at Formby Avenue, Formby Avenue, Atherton, Manchester, M46 0HX, 01942 886111",N/A,N/A,N/A
ABC Childcare at Ince Community Centre,N/A,"ABC Childcare provides high quality childcare with positive experiences for all individual children’s Learning & Development, throughout all aspects of the EYFS. All staff are fully qualified at level 3 or above and are highly experienced in meeting all children's individual needs. We offer a fully…","ABC Childcare @ Ince Community Centre, Manchester Road, Ince, Wigan, Lancashire, WN2 2DJ, 01942233077, 07495334581",N/A,N/A,N/A
ABC Childcare@ Ince Start Well Family Centre,N/A,ABC Childcare is situated in Ince start well family centre next door to Ince CofE Primary and St Williams Primary School.  The Childcare room is based in one room with free flowing outdoor provision and access to a large sensory garden where we plan and carry out…,"Charles street, Ince, WIGAN, Lancashire, WN2 2AL, 01942 767503 EXT1, 07495 334582",N/A,N/A,N/A
ABC Private Day Nursery,N/A,"We are a family business and have all fully qualified level 3 staff including two with Early Years Teacher Status. We care for children in a small, friendly environment whilst offering a range of stimulating activities. We follow the Early Years Foundation Stage curriculum and…","235, Orrell Road, Orrell, WIGAN, WN5 8LY, 01942 222 001",N/A,N/A,N/A
Abigail Heaton,N/A,"I work along side my husband Gary who is also an Ofsted registered Childminder. We offer arts & crafts, baking and many activites to enable childcare to learn through play. We have a large selection of toys and games for all ages. We have a good outside space…","Orrell, Wigan, WN5, 01695 363569, 07906 628 158",N/A,N/A,N/A
Alison Johnson,N/A,,"Hawkley Hall, Wigan, WN3, 07709371621",N/A,N/A,N/A
All Saints Catholic Primary School Nursery Golborne,N/A,"We offer: 'Outstanding' provision - Ofsted 2019. School based nursery/pre-school run as part of the Early Years department Exceptional provision for three and four-year-olds provided by a highly qualified team, led by an outstanding, experienced teacher. Currently 15 hours free provision for everyone, with additional…","Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 203905, 01942 747655",N/A,N/A,N/A
Amanda Holt,N/A,"Hi, my name is Manda. I am married with three children. One who is grown up, and two who are aged almost twenty and seventeen, currently at University and college. I have worked in childcare for twenty one years altogether, twelve years at a busy…","Ashton-in-makerfield, Wigan, WN4, 07914 953382",N/A,N/A,N/A
