Title,Schedule,Description,Location,Phone,Email,Website
ABC Private Day Nursery - Out of School and Holiday Club,N/A,"We are a family business, please contact us for information regarding before, after school or holiday childcare","235, Orrell Road, Orrell, Wigan, WN5 8LY, 01942 222 001",N/A,N/A,N/A
The Avenue Private Day Nursery,N/A,"Welcoming children from a range of different ages, from six weeks to four years old, The Avenue Private Day Care provides fantastic childcare services to suit you, your child and your schedule. If you’re looking for a nursery in Leigh or surrounding areas that boast…","The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
Canal House Forest School Holiday Club,Open Tuesday - Thursday during the school holidays,"The forest site that we are using is situated Within Canal House Day Nursery and is accessed via the gate from Canal House car park. With access to Leeds and Liverpool canal, this offers exciting opportunities for the children to experience first-hand how we as…","1, Ball Street, Wigan, County (optional), WN6 7TE, 01942237378",N/A,N/A,N/A
Care Love Learn at St Oswald's - Out-of-school Club,N/A,"We have a fully established out-of-school club based on site, providing a high quality wraparound care facility for children aged 18 months to 11 years. We are open from 7:30am for breakfast club and until 6:00pm for children in after-school club, Monday to Friday. If your child…","Care Love Learn at St Oswald's, Council Avenue, Ashton-in-Makerfield, Wigan, Lancs, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
Care Love Learn at St Oswald's Day Nursery,N/A,"OPENED IN SEPTEMBER 2021 - CARE LOVE LEARN PRE-SCHOOL AND NOW DAY NURSERY, ENROL YOUR CHILD FOR A FREE FUNDED PLACE! Care Love Learn Childcare based at St Oswald's Catholic Primary School in Ashton-in-Makerfield, has a day nursery for children from the age of 18 months and…","Care Love Learn at St Oswald's Day Nursery, Council Avenue, Ashton-in-Makerfield, Wigan, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
Cool Stars - Out of School Club,N/A,"We are a privately owned Out-of-School club providing before and after-school and holiday care for the pupils of Lowton St Mary's CE Primary School. This offers your child a safe, stimulating place in which to play or take part in activities and crafts. The club's…","Newton Road, Lowton, WARRINGTON, Cheshire, WA3 1EW, 01942 776109",N/A,N/A,N/A
Dawn Hornby,N/A,"I have a warm, cosy setting in which I strive to give the best service I can to the children and parents. I have 23 years’ experience and have watched many children grow into lovely young adults. I have a dog and a cat which the…","Tyldesley, Manchester, M29, 07811798151",N/A,N/A,N/A
Early Birds & Night Owls,N/A,"Early Birds and Night Owls provides before and after-school care for the children of Wood Fold Primary School and Fledglings Pre-School aged between 3 and 11 years. The service for school runs from 7:30am-8:45am each morning, and between 3:10pm and 5:30pm each afternoon. The afternoon is…","Green Lane, Standish, WIGAN, WN6 0TS, 01257 400271",N/A,N/A,N/A
First Steps - The Jolly Steppers Out-of-School and Holiday Club – Lowton,N/A,"Our Out-of-School Club, The Jolly Steppers, works in partnership with our independent school, Green Meadow Independent Primary School and other local schools to provide a high quality childcare service for children and families after school. We are a fully inclusive setting, registered for children aged…","First Steps Nursery, Robson Way, Lowton, Warrington, WA3 2RD, 01942 678803",N/A,N/A,N/A
First Steps at RL Hughes Out-of-school & Holiday club,N/A,First Steps at RL Hughes is a wrap around care facility based on the site of RL Hughes primary school. All staff hold level 3 childcare qualifications and one staff member holds a level 5. All staff are First Aid trained and are included in…,"Mayfield Street, Ashton-In-Makerfield, Wigan, Lancashire, WN4 9QL, 01942 711964, 01942 724118",N/A,N/A,N/A
Footprints Day Nursery - Holiday Care,N/A,"Based in the centre of Atherton, Footprints is located in an old Victorian school building which has served the community for generations. Each child will be welcomed into our Holiday Club room and have a choice of countless activities. Your child will need a packed…","Alderfold Street, Atherton, MANCHESTER, M46 9DS, 01942 876546",N/A,N/A,N/A
Heron Day Nursery Out-of-School Club,N/A,We offer a before and after-school club for St Mary and St John Primary School and Mabs Cross Primary School. We run a holiday club which is available to all children from any school between ages of 4-11 years. We offer a wide range of…,"St. John's Centre, Brick Kiln Lane, Wigan, WN1 1XH, 01942 202198",N/A,N/A,N/A
Hilton Street Childcare - Out of School Care,N/A,"Breakfast club from 7:00am and After-school care up until 6:30pm. In the morning children are provided with breakfast cereals and toast. After school they have a home cooked meal. Children are cared for in our hall on the first floor of the building, separate to…","YMCA building, Hilton Street, Ashton-in-makerfield, Wigan, WN4 8PD, 01942 274684",N/A,N/A,N/A
Holly Tree Pre-school - Out of School Club,N/A,"Qualified staff drop off and collect from school daily in our own nursery transport, which is fully insured and equipped. Weather permitting, to support the Healthy Child initiative, we walk the children to school as a walking bus, ensuring each child is signed in and…","Holly Tree Nursery, St. James Old School, St. James Road, Orrell, Wigan, WN5 7AA, 01695 280237 / 01695 625780",N/A,N/A,N/A
"Honey Bear - Breakfast, After School and Holiday Club",N/A,"We drop off at school following the breakfast session which is open from 7:30am. We collect from school at your child's stated finishing time, walk back via a designated route to the Nursery where a tea time session including a snack tea is provided until…","14, Nel Pan Lane, Westleigh, Leigh, Lancashire, WN7 5JS, 01942 672258, 07452 955500",N/A,N/A,N/A
Hope Out of School Care,N/A,Caterpillar before and after school club Hope school also offers wrap around care for children aged 3-11 during term time. We are open from 8am each morning and then from 3.15pm -18.00 pm. If you are interested in this service please contact school and ask…,"Hope Special School, Kelvin Grove, Marus Bridge, Wigan, WN3 6SP, 01942 824150",N/A,N/A,N/A
Jack in the Box Day Nursery (Wigan) Ltd - Out of School Care,N/A,"We offer a breakfast club, after-school club and holiday club during school holidays, for children aged from 4 to 11 years. The holiday club runs along side Platt Bridge School holidays and includes breakfast, two snacks and tea. Parents must provide a packed lunch. Please…","81, Ribble Road, Platt Bridge, Wigan, WN2 5EG, 01942 707195",N/A,N/A,N/A
Jennifer Taylor,N/A,"I live with my Husband, 15-year-old son and 10-year-old daughter. I aim to provide a clean, safe, caring environment in a relaxing family home. I provide a full range of resources from toys, books, paints, play dough etc. I have a fully contained outdoor play…","Lowton, Warrington, WA3, 01942 270178, 07899 695040",N/A,N/A,N/A
Justine Brown (Happy Hut Childcare),N/A,"Hello, my name is Justine and I am an Ofsted registered Childminder and mother of three. I have been fortunate to have worked as an early years practitioner for over 20 years, as a childminder and in both nursery and reception classrooms. Alongside my daughter…","Ashton-in-makerfield, Wigan, WN4, 07368297571",N/A,N/A,N/A
Kelly Pike,N/A,"My name is Kelly Pike, I live with my Husband and 2 children aged 10 and 8 years old, plus our little 1 year old cavapoo. I offer a secure, warm, loving and welcoming home-from-home environment for your children, dedicating the whole of the ground…","Tyldesley, Manchester, M29, 07895 253428",N/A,N/A,N/A
Kool Kidz Out of School Club at Bryn St Peter's Primary School,N/A,For further information please contact Happy Hours Day Nursery on 01942 766400.,"Downall Green Road, Ashton-in-makerfield, Wigan, WN4 0DL, 07521 770568 or 01942 766400",N/A,N/A,N/A
Laura's Little Learners Childminding,N/A,"I am an Early Years Teacher with a BA Hons degree in Primary Teaching, located in Lowton, near to Lowton Junior and Infant school. I endeavour to find the best way to help each child; as with the right support, every child can progress at…","Lowton, Wigan, WA3",N/A,N/A,N/A
Little Acorns Day Nursery - Out of School Care,N/A,"Breakfast club: Parents drop off the children from 7:30am. The children are offered a selection of cereals, milk and water before walking over to the local schools with dedicated out-of-school staff. After-school club: Nursery staff collect the children from the local schools at 3:15pm. They…","Courtyard House, Dicconson Terrace, Wigan, WN1 2AA, 01942 732821",N/A,N/A,N/A
Little Acorns Day Nursery - Springfield - Out of School Care,N/A,N/A,"Throstlenest Avenue, Springfield, Wigan, WN6 7AS, 01942 565029",N/A,N/A,N/A
Little Angels Pre-school - Out-of-School Club,N/A,"The underlying aim of Little Angels Day Nursery is to provide an inclusive, caring, friendly and stimulating environment, catering for the needs of each individual child and family. All staff are qualified and DBS checked. All of our staff are highly experienced and have worked in the…","5-7, Silcock Street, Golborne, WARRINGTON, WA3 3DG, 01942 722878 /01942 777616",N/A,N/A,N/A
Little Explorers - Holiday Club,N/A,"Get involved with den making, junk modelling, food tasting, sports, science experiments, tie dye and much more! – Enquire now on the contact details below or via our website.","Sefton Road, Wigan, WN3 6QU, 01942 901026",N/A,N/A,N/A
Little Explorers Childminding,N/A,"Hi my name is Jenny. I am an Ofsted registered Childminder in Wigan. I live with my husband Lee and children - Bobby and Daisy. I am level 6 qualified in Childcare. I have a degree in Children, Schools and Families. I have worked in…","Hawkley Hall, WIGAN, Lancashire, WN3, 07801256790",N/A,N/A,N/A
Little Foxes (Wigan) Ltd - Out of School Care,N/A,Our fantastic fun packed Holiday Club is now back at Little Foxes Nusery for children age 4-12 years. Our Holiday Club offers great opportunities for children during the school holidays. With activities changing every day we guarantee your child will want to come back for…,"Little Foxes, Billinge Road, Wigan, WN3 6BL, 01942 227972",N/A,N/A,N/A
