Title,Schedule,Description,Location,Phone,Email,Website
A-Stars Early Education,N/A,"A-Stars Early Education is an early years educational facility in the Pemberton area, with close links to the M6/M58 motorways. There is also access via Pemberton train station. We are led by a team of highly qualified and experienced staff. Our director (Anna) has over…","Leopold Street, Pemberton, Wigan, Lancashire, WN5 8EF, 01942 211441",N/A,N/A,N/A
ABC Childcare @ Atherton Family Hub,N/A,"ABC Childcare is situated in Atherton Family Hub Centre, in the Atherton area of Greater Manchester. The Atherton Family Hub Centre, is attached to Meadowbank County Primary School. The building comprises of a purpose-built ground floor building constructed to meet disability discrimination act requirements. As a setting we work in…","Family Hub at Formby Avenue, Formby Avenue, Atherton, Manchester, M46 0HX, 01942 886111",N/A,N/A,N/A
ABC Childcare at Ince Community Centre,N/A,"ABC Childcare provides high quality childcare with positive experiences for all individual children’s Learning & Development, throughout all aspects of the EYFS. All staff are fully qualified at level 3 or above and are highly experienced in meeting all children's individual needs. We offer a fully…","ABC Childcare @ Ince Community Centre, Manchester Road, Ince, Wigan, Lancashire, WN2 2DJ, 01942233077, 07495334581",N/A,N/A,N/A
ABC Childcare@ Ince Start Well Family Centre,N/A,ABC Childcare is situated in Ince start well family centre next door to Ince CofE Primary and St Williams Primary School.  The Childcare room is based in one room with free flowing outdoor provision and access to a large sensory garden where we plan and carry out…,"Charles street, Ince, WIGAN, Lancashire, WN2 2AL, 01942 767503 EXT1, 07495 334582",N/A,N/A,N/A
All Saints Catholic Primary School Nursery Golborne,N/A,"We offer: 'Outstanding' provision - Ofsted 2019. School based nursery/pre-school run as part of the Early Years department Exceptional provision for three and four-year-olds provided by a highly qualified team, led by an outstanding, experienced teacher. Currently 15 hours free provision for everyone, with additional…","Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 203905, 01942 747655",N/A,N/A,N/A
Aspull Pre-School,N/A,"OUTSTANDING in all areas - Ofsted report 16/9/2019 We have a team of 9 staff who are highly experienced, qualified and dedicated. The pre-school is purpose built and has a secure outdoor area. We provide a range of good quality, age appropriate equipment and resources,…","Oakfield Crescent, Aspull, WIGAN, WN2 1XJ, 01942 831457",N/A,N/A,N/A
Atherton Pre-School Day Care Limited,N/A,"Our nursery is based in the Community Centre on Dorset Road, Atherton, near the train station. We are a registered charity with a board of committee members. Established in 1966, first as a playgroup, then becoming a registered nursery. We pride ourselves on having a…","Dorset Road Community Centre, Dorset Road, Atherton, Manchester, M46 9PT, 01942 883957",N/A,N/A,N/A
Beech Hill Community Primary School Nursery,N/A,"Our full school day starts at 8:45am and finishes at 3:15pm. Our morning session finishes at 11:55am, and our afternoon session begins at 12:10pm Children may attend the nursery in the September following their third birthday. All children are entitled to 15 hours in Nursery…","Netherby Road, Beech Hill, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
The Beeches Pre-School,"Monday-Thursday, Term time only","Our recent Ofsted inspection was graded as 'Outstanding' in all areas. Please view our report below. The Beeches Pre-School is owned and managed by two experienced, fully qualified teachers. Between us we have over 40 years of teaching experience in schools.  Currently taking registrations for…","1, Beech Drive, Pennington, Leigh, WN7 3LJ, 07704 632 473",N/A,N/A,N/A
Bright Horizons Astley Nursery and Preschool,N/A,"Here at Bright Horizons we offer exceptional Childcare. We are a 75 place Nursery, open 5 days a week 7:15am to 6:00pm. Our Nursery Chef prepares and freshly cooks all of our meals on site; we cater for a variety of dietary and religious requirements.…","The Stables, Horridges Farm, Higher Green Lane, Tyldesley, Manchester, M29 7HQ, 01942 363620",N/A,N/A,N/A
Britannia Bridge Primary School - Nursery,N/A,"Britannia Bridge Primary School is a true community school, providing the very best for ‘each and every one’ of our 3- to 11-year-old children and their families. We are situated in the heart of Lower Ince, within easy reach of Wigan Town Centre. Our school…","Winifred Street, Lower Ince, WIGAN, LANCASHIRE, WN3 4SD, 01942 760036",N/A,N/A,N/A
Bumblebees @ St Paul's Nursery,N/A,Bumblebees was established in July 2005 and staff have over 20 years experience in childcare. All staff have a minimum of Level 3 childcare qualification and senior management are qualified to level 6. All staff are highly trained and skilled at their profession. We are…,"St. Pauls C Of E Junior & Infant School, Warrington Road, Goose Green, WIGAN, Greater Manchester, WN3 6SB, 07718 642592",N/A,N/A,N/A
Care Love Learn at St Oswald's Day Nursery,N/A,"OPENED IN SEPTEMBER 2021 - CARE LOVE LEARN PRE-SCHOOL AND NOW DAY NURSERY, ENROL YOUR CHILD FOR A FREE FUNDED PLACE! Care Love Learn Childcare based at St Oswald's Catholic Primary School in Ashton-in-Makerfield, has a day nursery for children from the age of 18 months and…","Care Love Learn at St Oswald's Day Nursery, Council Avenue, Ashton-in-Makerfield, Wigan, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
First Steps at Cansfield Day Nursery and Pre-school,N/A,"First Steps at Cansfield has been in operation since 1994 and most of the staff that work here have enjoyed many years of continued service. Our Manager has over 25 years service history here, and between our 12 nursery staff there is a combined continued…","Old Road, Ashton-in-Makerfield, Wigan, Lancashire, WN4 9TP, 01942 711964",N/A,N/A,N/A
Fledglings Nursery,N/A,"We open 39 weeks of the year which is term-time only. The opening hours are 9:00am-3:00pm, Monday to Friday. We can support you with further extended wraparound care if needed within the school's Early Birds and Night Owls facility, between 7:30 am-9:00am and 3:00pm-5:30pm. We have extensive…","Wood Fold Primary School, Green Lane, Standish, Wigan, Lancashire, WN6 0TS, 01257 400271",N/A,N/A,N/A
Higher Folds 2 Year Olds Nursery and Pre-School,N/A,Higher Folds 2 Year Olds Nursery and Pre-school opened in April 2014 in Higher Folds Community Centre and we are an established nursery that plays an important and key role in the early years education of local children. It is the only 2-year-old funded nursery…,"Higher Folds Community Centre, Stirling Close, Higher Folds, Leigh, Lancashire, WN7 2UB, 01942 674548",N/A,N/A,N/A
Highfield Grange Pre-School,N/A,"We are a small friendly pre-school that take a friendly and fun approach to learning.  We use the Early Years Foundation Stage Curriculum and encourage children to learn through play and offer a wide range of activities including sand/water, books/musical instruments, arts/crafts, ICT, role play…","The Highfield Centre, Highfield Grange Ave, Marus Bridge, Wigan, Lancs, WN3 6GH, 01942 498950",N/A,N/A,N/A
Hindley All Saints CE Primary Nursery,N/A,"Our nursery is an integral part of our whole school community and as such, has access to the school facilities and extensive outdoor space including forest area, growing area and hens. Our highly skilled teachers are passionate practitioners and offer stimulating and varied learning experiences…","Chapel Fields Lane, Hindley, WIGAN, LANCASHIRE, WN2 3QS, 01942 255577 (School)",N/A,N/A,N/A
Hindley Green Community Primary School - Nursery,N/A,"We deliver the curriculum through planned, purposeful play that is based upon the interests and learning needs of the children. Nursery staff work closely with our Reception team so that there is continuity and smooth transition. We welcome our intake of children in September; depending…","Thomas Street, Hindley Green, Wigan, Lancashire, WN2 4SS, 01942 255406",N/A,N/A,N/A
Hindley Nursery School,N/A,"Our high quality provision is underpinned by our strong focus on quality interactions through child-initiated play and adult-guided play. Our provision ensures that we focus on children’s well-being, involvement and how we motivate and engage the children, providing opportunities for them to develop the characteristics…","Mornington Road, Hindley, Wigan, Lancashire, WN2 4LG, 01942 488228 (Select option 1 for 3 & 4 Year old Nursery or option 2 for pre-nursery)",N/A,N/A,N/A
Holy Family Catholic Academy - Nursery,N/A,Our nursery is open term-time during school hours. The doors open at 8:45am for children to begin arriving and to allow parents time to speak to their child's key worker if necessary. The school Breakfast club is open to Nursery children at an additional cost…,"Wigan Street, Platt Bridge, WIGAN, LANCASHIRE, WN2 5JF, 01942 704148",N/A,N/A,N/A
Lamberhead Green Headstart - Pre-School and Nursery,N/A,"Lamberhead Green Headstart Nursery is a warm and inviting nursery and preschool catering to children aged 2 to 4 years old. With a strong focus on creating a nurturing environment, we ensure that every child feels welcomed and valued from the moment they step through…","Kershaw Street, Pemberton, WIGAN, Lancashire, WN5 0AW, 01942 776002",N/A,N/A,N/A
Leigh South Community Nursery,N/A,"Leigh Community Nursery offers a safe, homely environment with a large outdoor play space in which children can learn. Our care and learning is tailored to each child's individual needs and we maintain high staff:child ratios to ensure positive relationships can be built.  Our staff…","Community Centre, Hope Carr Road, Leigh, WN7 3ET, 07804407919",N/A,N/A,N/A
Leigh St Thomas Preschool Ltd,N/A,"We welcome all children and their families and aim to provide high quality care and education for children 2 - 4 years. We have a small team of 4 full time long serving staff members who are highly qualified, experienced and dedicated - the Manager…","Leigh, Lancashire, WN7, 01942 263533",N/A,N/A,N/A
Little Angels Pre-school,N/A,"The underlying aim of Little Angels Day Nursery is to provide an inclusive, caring, friendly and stimulating environment, catering for the needs of each individual child and family. All staff are qualified and DBS checked. All of our staff are highly experienced and have worked in the…","5-7, Silcock Street, Golborne, Warrington, WA3 3DG, 01942 722878 /01942 777616",N/A,N/A,N/A
Little Angels St Thomas',N/A,"This childcare service has not yet provided details for their listing. For more information, please contact fsd@wigan.gov.uk","Church Street, Golborne, Warrington, WA3 3TH",N/A,N/A,N/A
Little Dragons' Nursery at Atherton St George's CE Primary School,N/A,"Little Dragons' Nursery is based within Atherton St George's CE Primary School in Atherton, situated in the heart of the community, and has the benefit of being part of The Wings' CE Trust. As a pre-school we believe that we are privileged to be entrusted with…","Derby Street, Atherton, MANCHESTER, LANCASHIRE, M46 0HJ, 01942 883971, enquiries@admin.saintgeorges.wigan.sch.uk",N/A,N/A,N/A
Little Explorers Goose Green,N/A,"We provide a welcoming, calm and learning-enriched environment. We want everyone to feel happy, safe and empowered to learn. Through our nurturing environment, children develop confidence, independence and resilience. We value and encourage home involvement in children’s learning. Above all we wish nursery life to…","Goose Green Methodist church, Sefton Road, Wigan, Greater Manchester, WN3 6QU, 01942 901026",N/A,N/A,N/A
Lowton St. Marys CE Primary - Nursery,N/A,"Our purpose built Foundation Stage building has been open since 2008. The open plan design creates light and space for the children to learn and play as a whole class, in smaller groups or individually while being constantly monitored by our dedicated staff. There are…","Newton Road, Lowton, WARRINGTON, CHESHIRE, WA3 1EW, 01942 769710",N/A,N/A,N/A
