Title,Schedule,Description,Location,Phone,Email,Website
Be Well Advisors - Atherton,Fridays 10am - 1pm,"Be Well Advisors - Atherton Start Well Family Centre Fridays 10am - 1pm Drop in for information on weight management, mental health, stop smoking and alcohol reduction. To make an appointment call 01942 836967","Formby Avenue, Atherton, M46 0HX",N/A,N/A,N/A
Care Quality Commission,N/A,"CQC is the independent regulator of health and adult social care in England. We make sure health and social care services provide people with safe, effective, compassionate, high-quality care and we encourage care services to improve. We monitor, inspect and regulate services and publish what…",03000 616161,N/A,N/A,N/A
Caring Connections - Home Care Provider,N/A,"Caring Connections specialises in the provision of personalised care and support to vulnerable residents aiming to improve levels of independence, reduce social isolation and improve overall quality of life. The main objectives of Caring Connections are the provision of home care support services and charitable…","1A Pier House, Wallgate, Wigan, WN3 4AL, 01942597077",N/A,N/A,N/A
Continence Advisory Service,N/A,"Provision of a comprehensive continence advisory service across the Wigan Borough. The service provides specialist clinical advice, guidance and support to health and social care professionals, carers and clients with regard to continence care. The service provides a comprehensive continence advisory service across the Wigan…","Liverpool Road, Hindley, WIGAN, WN2 3HQ",N/A,N/A,N/A
Dentist Services,N/A,"To help stop the spread of coronavirus (COVID-19), do not visit a dentist in person unless you're told to. NHS England is responsible for local dental health services. To find your nearest dentist select the website below and enter your post code, this will give…","01942 482711, NHS 111 in an emergency",N/A,N/A,N/A
GP Out of Hours Service,N/A,Patients gain access to the Wigan Borough GP Out of Hours Service Via North West Ambulance 111 Service: Telephone 111. The GP Out of Hours Team provides a safe and high quality GP Out of Hours Service. Patients will be provided with direct transfer to…,"WN3 4NW, 111",N/A,N/A,N/A
Health Visiting Service,N/A,"The Health Visiting Service offer is available to all children and families, including children with additional health needs. We provide advice, information and support to families and children and help parents make decisions that improve their family’s future health and well-being Please visit the website…",N/A,N/A,N/A,N/A
Hearing and vision support (0-19 years),N/A,"If your child (0-19 years) is diagnosed with hearing loss and/or visual impairment, the Specialist Sensory Education Team (SSET) can help by providing support at home or in nurseries and schools. Please go to the website provided for more information",N/A,N/A,N/A,N/A
Leigh Infirmary,The visiting times vary for each ward. For more information call 01942 244000.,"Leigh Infirmary our elective diagnostic and rehabilitation site to complement our emergency site in Wigan with space for future development. This site is devoted to elective care, protected from the pressures of emergency work and also provides an atmosphere which is very attractive to patients…","The Avenue, LEIGH, WN7 1HS, Main number: 01942 244000, Walk-in-Centre: 01942 483 453",N/A,N/A,N/A
Leigh NHS Walk-in Centre,N/A,"Leigh NHS Walk-In-Centre offers fast and convenient access to advice, information and treatment by experienced nurses. The centre offers treatment for minor illnesses and injuries. For full information please visit the website by selecting the link below","The Avenue, LEIGH, LANCASHIRE, WN7 1HR",N/A,N/A,N/A
The Lewy Body Society,N/A,The Lewy Body Society is a Wigan based charity registered in England and Wales (number 1114579) and in Scotland (SC047044) whose mission is to fund research into Lewy body dementia and to raise awareness of the disease. DLB is the second most common type of…,"Unity House, Westwood Park, Wigan, WN4 4HE, 01942 914000",N/A,N/A,N/A
Longshoot Health Centre,N/A,For full information and opening times please visit the website by selecting the link below.,"Scholes, WIGAN, WN1 3NH",N/A,N/A,N/A
Menopause Support Group,"Last Tuesday of the month, 7.30 pm - 9.30 pm","We are a friendly and inclusive group offering support to women, and non-binary individuals, in Wigan and surrounding areas to navigate the maze that is menopause. We provide a safe place to ask questions, listen to others and to gain information and knowledge.  No two…","Hindley, Wigan, WN2 2QJ",N/A,N/A,N/A
Occupational Therapy Service - Children’s,N/A,"We are a team of Occupational Therapists, Therapy Assistants and Administrative Support Staff who work together to deliver a high quality, efficient children’s occupational therapy service to the children and young people of Ashton, Leigh and Wigan. Our occupational therapy service offers specialist assessment and…","Rivington Avenue, Platt Bridge, WIGAN, WN2 5NG",N/A,N/A,N/A
