Title,Schedule,Description,Location,Phone,Email,Website
Contact a Family,N/A,"We are Contact, the charity for families with disabled children. We support families with the best possible guidance and information. We bring families together to support each other. And we help families to campaign, volunteer and fundraise to improve life for themselves and others. To…",N/A,N/A,N/A,N/A
Embrace Wigan & Leigh,Monday - Friday 9:00am to 5:00pm,"Embrace Wigan and Leigh is a user-led charity dedicated to helping people with any type of disability and their families who live within the borough of Wigan, gain the support they need to live a fulfilling life. Embrace offers information, advice, support, training and advocacy…","Platt Bridge Community Zone, 81 Ribble Road, Platt Bridge, Wigan, WN2 5EG, 01942 233323",N/A,N/A,N/A
Learning Disability Rugby League Session,Friday 5-6pm,Our session takes place at Robin Park Arena on the 3G on Friday evenings 5-6pm. Please bring appropriate footwear and a drink to last the hour. Teams run between January and November. If you have any queries please contact community@wiganwarriors.com,"Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
Learning Disability Team - Community Services,N/A,"We are a multidisciplinary team based at locations across the Wigan borough aiming to provide a seamless, person centered service to adults and young people with a learning disability. We are predominantly an adult service who supports adults with learning disabilities from the age of 18…",WN5 8QU,N/A,N/A,N/A
Navigate: emotional support for parents (Scope),Monday to Friday: 9am to 8pm Saturday: 9am to 12pm,"Navigate is a national mentoring service, that provides online emotional support for parents and carers of disabled children who are finding out about their child’s additional needs.  Please visit their website provided for full information.",0808 801 0510,N/A,N/A,N/A
Physiotherapy Service - Children’s,N/A,Our physiotherapy service offers specialist assessment and intervention to promote the health and wellbeing of children and young people.. For further information and how to contact this service please go to the website below.,"Rivington Avenue, Platt Bridge, WIGAN, WN2 5NG",N/A,N/A,N/A
Special educational needs and disability - Local Offer,N/A,"The Local Offer is all the provision we expect to be available across education, health and social care for children and young people in Wigan Borough who have SEN or are disabled, including those who do not have Education, Health and Care (EHC) plans. Key…","Platt Bridge Community Zone, 81 Ribble Road, Platt Bridge, Wigan, WN2 5EG",N/A,N/A,N/A
Therapy and Specialist Support - Together Trust,Appointments can be arranged to meet individual needs,"We work collaboratively across a range of settings including special educational needs (SEN) and mainstream schools, social and residential services, to provide wrap around and coordinated support directly to children and young people and to those who support them (parents, carers, teachers, service staff).   …","Schools Hill, Cheadle, Stockport, Cheshire, SK8 1JE, 0161 283 4848",N/A,N/A,N/A
Wheelchair Fund,N/A,Providing mobility aids to people throughout the Wigan & Leigh Borough. An established charity since 1980. We provide mobility aids so that disabled people can access services within their local community in order to reduce isolation and break down barriers to participation.,"50-52 Saint Paul's Avenue, Worsley Mesnes, Wigan, LANCASHIRE, WN3 5LL",N/A,N/A,N/A
Wheelchair Service,N/A,"The Wheelchair Service provides assessment for provision of a wheelchair when clients meet the eligibility criteria. Following assessment wheelchairs will be provided to meet clinical need. The Service provides pressure relieving cushions for wheelchairs provided by Ashton, Leigh and Wigan Wheelchair Services and where pressure…","Lower Ince Health Centre, Phoenix Way, Ince, WIGAN, LANCASHIRE, WN3 4NW",N/A,N/A,N/A
Wheels for All,N/A,"Our Wheels For All sessions are delivered at Robin Park Arena, Wigan & Leigh Harriers Athletic Track, Leigh.  Sessions are available for ages 5 upwards for children and adults. Range of bikes available to book. Booking is essential for all sessions.","Robin Park HQ, Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
