Title,Schedule,Description,Location,Phone,Email,Website
Bridgewater Day Care,Open Monday - Friday from 10am until 4pm,"Bridgewater Day Care is a day care service for adults, older people and those living with a form of dementia.     View their Video here: https://vimeo.com/954812784   <iframe src=""https://player.vimeo.com/video/954812784?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" width=""480"" height=""480"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write"" title=""Welcome to Bridgewater Day Care!""></iframe>   From their Day Centre…","Queen Street, Golborne, Warrington (Cheshire), Cheshire, WA3 3AF",N/A,N/A,N/A
BRYN DEMENTIA SUPPORT GROUP,Last Friday of the month from 11am-1pm,"Join us for our monthly Dementia Support Group, held on the last Friday of each month from 11:00 AM to 1:00 PM. This group offers a compassionate space for families and caregivers who are supporting loved ones living with dementia. Whether you're seeking advice, sharing…","Cooke St, Bryn, Ashton-in-Makerfield, WN4 0DL",N/A,N/A,N/A
Carers Trust,N/A,"Carers Trust is a major charity for, with and about carers. We work to improve support, services and recognition for anyone living with the challenges of caring, unpaid, for a family member or friend who is ill, frail, disabled or has mental health or addiction…","32-36, Loman Street, London, SE1 0EH, 0300 772 9600",N/A,N/A,N/A
Creative Mindfulness for Dementia Course,TBC,"Are you or someone you care for living with a Dementia diagnosis? Would you like to live well with this disease, sooth your mind & body and have some fun? The first Creative Mindfulness for Dementia Course in 2023, based on the renowned Breathworks Mindfulness…","1, Kirby Road, Leigh, Greater Manchester, WN7 4EF",N/A,N/A,N/A
Crossroads Carers Support Group,10.30am - 1pm,"Crossroads Carers Support GroupCoffee Mornings 11am - 1pm Kingsleigh Methodist Church Hall73 King Street, WN7 4LR What can you expect?* A friendly welcome on arrival* Opportunity to get to know other carers and share ideas.* A munch needed break from your caring role.* Entertainment, quiz…","73, King Street, Leigh, Wigan, Greater Manchester, WN7 4LR",N/A,N/A,N/A
EDIT (Early Detection and Intervention Team),N/A,Early Detection and Intervention Team (EDIT) is a specialist psychological therapy service that works with young people aged 14 – 35 years who are experiencing distress and symptoms such as: Hearing or seeing things that others cannot Feeling paranoid or suspicious of people or certain…,"Sale Way, LEIGH, WN7 4JY",N/A,N/A,N/A
The Herbert Protocol,N/A,"The Herbert Protocol is a national scheme used by police forces and emergency services across the UK to support people living with dementia who might be at risk of becoming lost or reported as missing. The scheme enables carers, family and friends to compile a…","Suite 1, Liscombe South, Liscombe Park, Soulbury, LU7 0JL",N/A,N/A,N/A
Home Care Services | Domiciliary Care Provider,Mon – Fri : 9 a.m. – 5 p.m. ( *closed weekends ),"Third Hand CareDelivering Outstanding Home CareProviding Exceptional Home Care Services for Your Loved Ones: Trustworthy, Compassionate, and Reliable. Trustworthy Care ServicesProviding Peace of Mind and Dependability for You and Your Family.Compassionate ServicesCaring for Your Loved Ones with Kindness, Empathy, and Respect.Reliable Home Care ServicesAlways There…","Farnham, Farnham, Surrey, GU9 7SX",N/A,N/A,N/A
Thrive (HINDLEY) CIC,Monday to Friday (9am - 4pm),"THRIVE CIC specialise in providing an alternative quality service, offering opportunities for people aged 16 plus with support needs, enhancing life skills and strengthening quality of life through positive thinking and creative activities. We provide a variety of onsite sessions and workshops across Thrive's two…","office 2, Platt Lane, Hindley, Wigan, Greater Manchester, WN2 3PA",N/A,N/A,N/A
Wigan and Leigh Carers Centre (WLCC),Open Monday to Friday from 9 am until 4.30 pm,Carers are at the heart of everything we do.  We care deeply about making it our mission to make a positive difference to the lives of both young and adult carers in the Wigan and Leigh Borough.   Are you an unpaid / unwaged Carer?…,"3-5, Frederick Street, Hindley, Wigan, Greater Manchester, WN2 3BD, 01942 697885",N/A,N/A,N/A
Wigan Parent Carer Forum,Every Tuesday during Term Time,"We are passionate parents/carers of children with special needs and /or disabilities in Wigan working to ensure Education, Health and Social Care will be delivered in a way that reflects the views of parent/carers and young people, with the hope that children and young people…","Ashland House, Manchester Road, Ince, Wigan, Greater Manchester, WN2 2DX",N/A,N/A,N/A
