Title,Schedule,Description,Location,Phone,Email,Website
Beacon Counselling Trust - Gambling Support,N/A,"Free treatment and support to those affected by problematic gambling One of our core services is to offer free treatment and support to those affected by problematic gambling, including partners, family members and friends. Our main office and training facility is based in Liverpool. However,…",0151 226 0696,N/A,N/A,N/A
BEAT Eating Disorders,N/A,"Our national Helpline exists to encourage and empower people to get help quickly, because we know the sooner someone starts treatment, the greater their chance of recovery. People can contact us online or by phone 365 days a year. We listen to them, help them to understand…",0808 8010677 (free phone number),N/A,N/A,N/A
Child and Adolescent Mental Health Service (Wigan CAMHS),N/A,"Our Child and Adolescent Mental Health Services - also known as CAMHS - work with young people with emotional, behavioural or mental health difficulties, and their families. Please visit the website below for full information and how to contact them.","Helping Hands Centre, 155 - 157 Manchester Rd, Ince, WIGAN, LANCASHIRE, WN2 2JA, 01942 764473 open 9-5pm, 0800 953 0285 - 24 hour helpline",N/A,N/A,N/A
Child Bereavement UK,N/A,"Child Bereavement UK supports families and educates professionals when a baby or child of any age dies or is dying, or when a child is facing bereavement. Our vision is for all families to have the support they need to rebuild their lives. Please go…",0800 02 888 40,N/A,N/A,N/A
Complete Kindness CIC,N/A,Qualified counsellors supporting the community across the Wigan Borough.,N/A,N/A,N/A,N/A
Cruse Bereavement Care,N/A,"Grief is a natural process, but it can be devastating. We are here to support you after the death of someone close.  Hope again  is the youth website of Cruse Bereavement Care. It is a safe place where you can learn from other young people,…",0808 808 1677,N/A,N/A,N/A
DIAS Domestic Violence Centre,"The DIAS Drop In Centre is open Monday, Tuesday and Thursday between 8am-3pm.","DIAS Drop In Centre is open on Monday, Tuesday and Thursday between 8am - 3pm. DIAS works with women and men who are experiencing or recovering from domestic violence and abusive relationships, and helps them to regain control of the situation. We are dedicated to…","38 Rodney House, King Street, Wigan, WN1 1BT",N/A,N/A,N/A
Domestic Abuse,N/A,"If you are experiencing domestic abuse from a partner, ex-partner or family member, you can get free and confidential help. Please select the link below for further information, advice and people/services you can contact.",N/A,N/A,N/A,N/A
Eating Disorder Service for Young People,N/A,"Our Young People's Community Eating Disorder Service provides assessment, treatment and support for young people with eating disorders and their families.Our service aims to promote the early detection and treatment of eating disorders through a combination of one-to-one support and family therapy, along with support…",N/A,N/A,N/A,N/A
EPiC HOPE CIC,N/A,"We are a non profit organisation serving the people of Wigan and Leigh. We provide Harbours, safe spaces for anyone to attend who is struggling with their mental health, or feels close to crisis, anyone who is bereaved, lonely, or anyone who feels they need…",N/A,N/A,N/A,N/A
Family mediation - helping resolve conflict and live better family lives,N/A,"All families experience conflict, sometimes a little extra help is needed to sort it out.  TalkFIRST is a chairty based in Ince providing mediation to families in Wigan, Leigh and the surrpounding areas to aid communication, resolve conflcit helping people feel heard and understood.  If…","Ashland House, Dobson Park Way, Wigan, Lancashire, WN2 2DX, 01942 243620",N/A,N/A,N/A
