Title,Schedule,Description,Location,Phone,Email,Website
Atherton St George's CE Primary School - Breakfast Club,N/A,"St George's CE Primary School's breakfast club is for children who attend our school. Free of charge Breakfast Club, accessible for all children from Nursery to Year 6. Funded by Greggs Foundation and supported by Warburtons bread donations. Whole School Toast provision and healthy breakfast…","Derby Street, Atherton, Wigan, M46 0HJ, 01942 883971",N/A,N/A,N/A
Beech Hill Community Primary - Out of School Care,N/A,If you are interested in a place please contact Beech Hill Community Primary School using the details below. Please click the link to view our latest Ofsted Report.,"Netherby Road, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Breakfast Club At Bickershaw CE Primary School,N/A,8:00am to 8:50am every morning in the school hall. £3.50 per session. Free to children eligible to pupil premium. Please visit our website for more information. Ofsted Report,"Bickershaw Lane, Bickershaw, WIGAN, LANCASHIRE, WN2 4AE, 01942 866317",N/A,N/A,N/A
Buddies Before & After School Club,N/A,If your child attends this school and you would like more information please contact us on the number provided below.,"Swan Lane, Hindley Green, Wigan, WN2 4HD, 07742 156069",N/A,N/A,N/A
Canon Sharples CE Primary School - Breakfast Club,N/A,"Canon Sharples breakfast club is for children who attend the school, for full information please visit the school website.   Ofsted Report","Whelley, Wigan, WN2 1BP, 01942 776188",N/A,N/A,N/A
Care Love Learn at St Oswald's - Out-of-school Club,N/A,"We have a fully established out-of-school club based on site, providing a high quality wraparound care facility for children aged 18 months to 11 years. We are open from 7:30am for breakfast club and until 6:00pm for children in after-school club, Monday to Friday. If your child…","Care Love Learn at St Oswald's, Council Avenue, Ashton-in-Makerfield, Wigan, Lancs, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
Castle Hill Kids Club Hindley Ltd,N/A,"We run a successful before & after-school club and holiday provision from within Castle Hill St Philip's CE Primary School, Hindley. It is open for 50 weeks of the year, every day, except bank holidays and the Christmas holidays. Castle Hill Kids Club is a…","Hereford Road, Hindley, Wigan, WN2 4DH, 07714590790",N/A,N/A,N/A
The Children's Club TCC,N/A,"The Children's Club has qualified and experienced staff who provide a safe, friendly environment for your children aged 4-11. We are registered with Ofsted and are graded as an 'Outstanding' provider. TCC work closely with St David's School and provide activities complementing St David's Ethos.…","St. Davids CE Primary School, Copperas Lane, Haigh, Wigan, WN2 1PA, 07936819956",N/A,N/A,N/A
Chowbent Primary School - Breakfast Club and After School Club,N/A,Information about our Breakfast Club and After School Club can be found on the links below.  Breakfast Club Information  After School Club,"Laburnum Street, Atherton, Manchester, M46 9FP, 01942 883410",N/A,N/A,N/A
Christelle Simmons,N/A,"I came to realise that I have a natural aptitude for providing fun and learning for little ones, when I became a first time mum at the tender age of 40yrs old. I started as a volunteer in my daughter’s nursery and worked my way…","Orrell, Wigan, WN5",N/A,N/A,N/A
Confidence Club Ltd,N/A,"Breakfast club each morning from 7:30am provided for the children who attend the school. After school club on Mondays, Tuesdays and Wednesdays until 4:15pm for children who attend the school  Drink and snack provided.","Mort street, Springfield, Wigan, Lancashire, WN6 7AU, 07847227215",N/A,N/A,N/A
The Cool Club - All Saints Catholic Primary School Out of School Club,N/A,The Cool Club provides all families with care from 7:45am-5:30pm with experienced Early Years trained staff in post. The service runs term time only. At this time the service provides for only the children who attend All Saints school and preschool/nursery. A place to play…,"All Saints Catholic Primary School, Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 203905, 01942 747655",N/A,N/A,N/A
Crackerjax Out of School Club,N/A,"Our staff are highly qualified in Childcare, Learning and Education, First Aid, Safeguarding and have completed multiple courses relating to children's mental health and other various topics. We have use of the schools computer suite which enables the children to do homework with the help…","Bolton Road, Aspull, Wigan, Lancashire, WN2 1QW, 07731848162",N/A,N/A,N/A
Early Birds & Night Owls,N/A,"Early Birds and Night Owls provides before and after-school care for the children of Wood Fold Primary School and Fledglings Pre-School aged between 3 and 11 years. The service for school runs from 7:30am-8:45am each morning, and between 3:10pm and 5:30pm each afternoon. The afternoon is…","Green Lane, Standish, WIGAN, WN6 0TS, 01257 400271",N/A,N/A,N/A
First Steps - The Jolly Steppers Out-of-School and Holiday Club – Lowton,N/A,"Our Out-of-School Club, The Jolly Steppers, works in partnership with our independent school, Green Meadow Independent Primary School and other local schools to provide a high quality childcare service for children and families after school. We are a fully inclusive setting, registered for children aged…","First Steps Nursery, Robson Way, Lowton, Warrington, WA3 2RD, 01942 678803",N/A,N/A,N/A
Get Along Before & After school Club,"Get Along opens Monday to Friday, term-time only","Get Along provides before & after school care for the children attending Millbrook Primary School and our pre-school, Play Along. Get Along has been a successful club for the past 23 years, we do not have a large staff turnover, providing consistency for the children.…","Elmfield, Shevington, Wigan, Lancs, WN6 8DL, 01257 401030",N/A,N/A,N/A
Gilded Hollins Community School - Breakfast and After School Club,N/A,"Gilded Hollins runs a breakfast club, 'Breakfast Buddies', in the school hall from 7:45am until 8:50am. A breakfast of toast, cereal and fruit juice is provided. Once pupils have eaten, there is the opportunity to catch up on homework, read quietly, watch a DVD, or…","Gilded Hollins School, St. Helens Road, Leigh, WN7 3PQ, 01942 678903",N/A,N/A,N/A
Golborne Community Primary School Out-of-School Club,N/A,"It provides a range of stimulating and creative activities in the safe and secure environment of the school, along with a calm and happy play environment in which children can engage socially with children from other year groups. The club operates from 7:30am–8:45am and from…","Talbot Street, Golborne, Warrington, WA3 3NN, 01942 726059",N/A,N/A,N/A
Kidz Club at Hindley All Saints',N/A,Kidz Club is a Limited Company that was created to help parents who needed child care beyond the usual school day and caters for children from Reception to Year 6. Kidz Club meets in a purpose built unit but is an integral part of our…,"C/O Hindley All Saints' CE Primary School,, Hindley, WIGAN, WN2 3QS, 01942 255577, 07731 826893",N/A,N/A,N/A
Leigh St John's CE Primary School- Before and After School Care,N/A,"Leigh St John's CE Primary before and after-school care is for children who attend the school only. We are very lucky to have a very dedicated staff team at our school. We believe that our children should have the best experiences, and we ensure our…","Kirkhall Lane, Leigh, WN7 1RY, 01942 672825",N/A,N/A,N/A
