Title,Schedule,Description,Location,Phone,Email,Website
Astley Unlimited Choir,N/A,Please visit their website for information and contact details.,N/A,N/A,N/A,N/A
Astley Youth Band,N/A,"Astley Youth Band is an independent, self funded, community based brass band. It is a registered charity (1144563) in England and Wales. Astley Youth Band was formed in January 1994. The aims of the band are: -   To promote brass music for young people in…","Manchester Road, Leigh, LEIGH, WN7 2LU",N/A,N/A,N/A
Atherton Dance Centre,"Varies times/days depending on age, ability and type of dance.",Our facilities include a large ballroom with a friendly atmosphere and two small studios for classes and practice. Our expert staff will have you dancing in no time. Please visit their website for full details.,"6 Bullough Street, Atherton, MANCHESTER, M46 0DL, 01942 255750",N/A,N/A,N/A
"Bands, choirs, orchestras and ensembles",N/A,Activities are available to all young musicians in Wigan Borough and the surrounding area. Students do not have to receive their lessons through Wigan Music Service to take part in these activities. Visit the website link below for more information on cost and how to…,01942 776169,N/A,N/A,N/A
Bom-Ta-Bom Drumming and Music Therapy Workshops,From 4.30pm to 6.30pm,"Our drumming and music therapy workshops are led by a professional musician and are for young people and adults with disabilities, aged 16 and over. We provide a regular workshop at More Than Words on Thursdays from 4.30pm to 6.30pm, but we welcome enquiries about bespoke workshops in…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 07954 051445",N/A,N/A,N/A
Captain's Lane Community Centre,N/A,"Built in the 1960s, the centre served as a youth club until 1995 when it was in danger of closure. Through the efforts of committed members and local volunteers it was established as an independent community organisation, and continues to provide facilities for a variety…","Captain's Lane (off Bolton Road), Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 8PG, 07982 929507",N/A,N/A,N/A
The Grange at Hope School and College,N/A,"The Grange offers a busy, vibrant and varied environment. We follow a multi-sensory programme which is delivered via a topic based approach. Topics are chosen to make activities interesting and stimulating and that match each young person’s individual needs. Sessions are planned and delivered in…","Hope Special School, Kelvin Grove, Wigan, WN3 6SP",N/A,N/A,N/A
Impulse Dance Academy,N/A,We provide professional and disciplined dance training in the ISTD examination syllabus which is extremely popular and is now taught world wide Please visit our website below for full information.,"Unit 1, Queen Street, Golborne, Warrington, WA3 3AF",N/A,N/A,N/A
Leigh Community Choir,Wednesday at 7.30pm,Community Choir singing mostly acapella in 4 voice parts,"Above Leigh Library, Civic Square, Leigh, Lancashire, WN7 1EB",N/A,N/A,N/A
Miss Katie's Dance - Pemberton,N/A,Please go to the website provided for full infromation.,"Belle Vue Street, Pemberton, WIGAN, WN5 9HF",N/A,N/A,N/A
