Title,Schedule,Description,Location,Phone,Email,Website
Baby Babble - Atherton,Mondays 11.00am - 12.00pm,"Let's Talk with your Baby at Atherton Start Well Family Centre Mondays 11.00am - 12.00pm This session is about helping your baby to develop their communication & language skills. There are lots of exciting things to do including messy play, tummy time, water play, twinkle…","Formby Avenue, Atherton, M46 0HX, 01942879012",N/A,N/A,N/A
Baby Massage,Tuesdays 9.45am and Wednesdays 11am,"Suitable from birth until pre-walking. Helps with bonding, wind, colic, reflux and more. Includes a bottle of massage oil and handouts with details of massage strokes. Includes songs, rhymes and a little sensory play.","Tyldesley Pelican Centre, Castle Street, Tyldesley, Manchester, M29 8EG, 07841866860",N/A,N/A,N/A
Baby Massage,Wednesdays 1:30-2:30pm,Suitable for babies age 6 weeks - 6 months. Learn different massage techniques for your baby. Booking is essential. Please call 01942 767503 option 2 to book.,"Douglas Valley Nursery, Turner Street, Scholes, Wigan, WN1 3SU, 01942 767503",N/A,N/A,N/A
Baby Massage - Atherton,Monday 9.30am - 10.30am,Baby Massage  6 weeks - 6 Months                                      This is a nice way to bond with your baby and learn some relaxing massage techniques that you can do at home through nurturing touch. Mondays 9.30am - 10.30am at Atherton Start Well Family Centre. Please call to book…,"Formby Avenue, Atherton, M46 0HX, 01942879012",N/A,N/A,N/A
Baby Massage - Golborne Linked Site (Term Time Only),Monday 1:00-,A nice way to bond with your baby and learn some relaxing messaging techniques that you can do at home through a nurturing touch for ages 0-6 months.,"Golborne Community Primary School, Talbot Street, Golborne, WA3 3NN, 01942 777705",N/A,N/A,N/A
Breastfeeding Drop In - Atherton,Tuesdays 9.30am - 10.30am,"Breastfeeding Drop In - Atherton Start Well Family Centre Tuesdays 1pm - 2.30pm A Friendly drop-in group for pregnant ladies and breastfeeding mums offering support and advice. Our sessions are facilitated by the infant feeding team, we can support with positioning and attachment, expressing and…","Formby Avenue, Atherton, M46 0HX, 01942879012",N/A,N/A,N/A
"Bumps, Boobs and Brews",Every Wednesday from 1pm-2pm.,"Led by our Experienced Pregnancy and Breastfeeding Peer Support Practitioners, our mum to mum groups are friendly, informal and a great way to meet and socialise with other like-minded parents and parents to be. Groups are a great way to seek any pregnancy, parenting and…","530 Manchester Road, Astley, Wigan, M29 7BP, 01942777903",N/A,N/A,N/A
"Bumps, Boobs and Brews",Every Tuesday from 10am-11am.,"Led by our Experienced Pregnancy and Breastfeeding Peer Support Practitioners, our mum to mum groups are friendly, informal and a great way to meet and socialise with other like-minded parents and parents to be. Groups are a great way to seek any pregnancy, parenting and…","Orrell Road, Orrell, Wigan, WN5 8QZ, 01942777903",N/A,N/A,N/A
Health Visiting Service,N/A,"The Health Visiting Service offer is available to all children and families, including children with additional health needs. We provide advice, information and support to families and children and help parents make decisions that improve their family’s future health and well-being Please visit the website…",N/A,N/A,N/A,N/A
Healthy Start,N/A,"What is Healthy Start? With Healthy Start, you get free vouchers every week to spend on milk, plain fresh and frozen fruit and vegetables, and infant formula milk. You can also get free vitamins. Who will be eligible to apply for the new Healthy Start…",WN3 4HH,N/A,N/A,N/A
Infant Massage - Orrell,Friday afternoon - 13:00pm - 14:00pm,It is run by our Early Years Workers Contact the centre for more information or to register an interest. Booking is essential,"St James Road, Orrell, Orrell, Wigan, WN5 7BD, 01942 488000",N/A,N/A,N/A
Infant Massage - Worsley Mesnes,Tuesday mornings 9:15am - 10:15am,Enhances bonding and attachment between parent and baby.,"Clifton Street, Worsley Mesnes, Wigan, WN3 5HN, 01942 488000",N/A,N/A,N/A
Jubilee Park,N/A,"Jubilee Park on the way to Ashton is one of the most beautiful and well kept small parks in the borough. Facilities include a pavilion and toilets, tennis and basket ball courts, grass pitches play areas, woodland area and a formal flower park.","Wigan Road, Ashton-in-Makerfield, WIGAN, WN4 9BH",N/A,N/A,N/A
Let's talk with your baby,Fridays 9:30-10:30 & 11-12,An interactive 8 week course focusing on language and communication with your baby through weekly themed activities. For babies age 3-12 months. Booking is essential. Please telephone 01942 767503 option 2 to book.,"Charles Street, Ince, Wigan, WN2 2AL, 01942 767503 ext2.",N/A,N/A,N/A
Let's Talk With Your Baby - Hope,Monday afternoon - 13:45 pm - 14:45 pm,Sessions consists of fun activities to promote language & communication.  Sessions are run for 8 weeks.  Booking is required,"Clifton Street, Poolstock, Wigan, WN3 5HN, 01942 488000",N/A,N/A,N/A
Maternity Action,N/A,"Maternity Action is the UK’s maternity rights charity dedicated to promoting, protecting and enhancing the rights of all pregnant women, new mothers and their families to employment, social security and health care. We empower mums and dads We offer free advice for mums and dads worried…",N/A,N/A,N/A,N/A
