Title,Schedule,Description,Location,Phone,Email,Website
2school for Afterschool - Leigh (Term Time),Tuesday 3:30-4:30pm,"Whilst enjoying a range of activities to explore with new friends, we will offer homework help, a chance to share your thoughts for the day and some games to pass the time! For Open Age years. Tuesday's @ 3-30-4:30pm Drop In","Westleigh Start Well Family Centre, Westleigh Lane, Leigh, Leigh, WN7 5NJ, 01942 777705",N/A,N/A,N/A
Autism Drop-In,Wednesdays 3:15-4:15pm,Come and meet our Early Years Worker who will have some fun activities to suit your child's needs. A great opportunity to meet other parents/carers to share experiences and chat.   Drop in session. No booking required. Term time only. Please call ahead to check…,"Douglas Valley Nursery, Turner Street, Scholes, Wigan, WN1 3SU, 01942 767503 option 2",N/A,N/A,N/A
Baby & Me - Hope,Tuesday morning - 10:45am - 11:30am,Run by an Early Years Worker.  Booking is essential.  Please ring the centre on 01942 488000 to book a place.,"Clifton Street, Wigan, WN3 5HN, 01942 488000",N/A,N/A,N/A
Baby & Me - Orrell,Friday afternoon - 14:30pm to 15:15pm,"It is run by Early Year's Worker.  It is run for 5 weeks and each session last for 3/4 of an hour.  Booking is essential, please ring the centre on:  01942 488000 to book a place.","St James Road, Orrell, Wigan, WN5 7BD",N/A,N/A,N/A
Baby & Me - Westfield,Monday mornings - 9:15am to 10:00am,"Session is run by Early Years Workers.  Booking is essential, please ring the centre to book a place on:  01942 488000.","110 Ridyard Street, Wigan, WN5 9RQ",N/A,N/A,N/A
Baby Babble - Atherton,Mondays 11.00am - 12.00pm,"Let's Talk with your Baby at Atherton Start Well Family Centre Mondays 11.00am - 12.00pm This session is about helping your baby to develop their communication & language skills. There are lots of exciting things to do including messy play, tummy time, water play, twinkle…","Formby Avenue, Atherton, M46 0HX, 01942879012",N/A,N/A,N/A
Baby Babble - Tyldesley,Fridays 9.30am - 10.30am,"Let's Talk with your Baby at Tyldesley Linked Site Friday 9.30am - 10.30am This session is about helping your baby to develop their communication & language skills. There are lots of exciting things to do including messy play, tummy time, water play, twinkle lights and making…","Poplar Street, Tyldesley, M29 8AX, 01942879012",N/A,N/A,N/A
Baby Babble Ashton,Thursdays 1.15 - 2.15pm,"A block of 6 weekly themed sessions which encourages to build on that special attachment between parent and baby.  The session helps to develop communication through songs, rhyme and sensory play.  Using the props provided, shake, bang and jiggle along to a variety of musical…","Wigan Road, Ashton in Makerfield, Wigan, Greater Manchester, WN4 9BH",N/A,N/A,N/A
Baby Babble Platt Bridge,Wednesdays 2.00pm - 3.00pm,"A block of 6 weekly themed sessions which encourages to build on that special attachment between parent and baby.  The session helps to develop communication through songs, rhyme and sensory play.  Using the props provided, shake, bang and jiggle along to a variety of musical…","Rivington Avenue, Platt Bridge, Wigan, Greater Manchester, WN2 5NG",N/A,N/A,N/A
Baby Bloom Classes Leigh & Atherton,Sessions Monday to Friday term time,Multi award winning baby development classes for infants 0-14months Each activity promotes the natural development of infants and encourages bonding in a sensory rich environment. Catapillar club for infants 0-6 months Busy Bees for infants 6-14 months,"3, Kenwood Avenue, Leigh, WN7 2LN, 07810 863924",N/A,N/A,N/A
