Title,Schedule,Description,Location,Phone,Email,Website
Archives: Wigan & Leigh,Open Tuesday to Friday 10am-1pm and 1.30pm-4pm; open Saturday 10am-2pm,Exhibitions   Archives: Wigan & Leigh Permanent Exhibition   Our amazing new family-friendly exhibition at Leigh Town Hall showcases the astonishing stories that make up the local history of the borough. Come and explore stories from around the borough with us... Get an insight…,"Leigh Town Hall, Leigh, WN7 1DY, 01942404430",N/A,N/A,N/A
BETA Education Charity,N/A,"BETA is committed to researching local history and recording local people’s memories for the future. Access to this research is in printed books and digital formats. The research is available free of charge via this website. BETA works with the local community, taking part in…","Rodney House, King Street, WIGAN, WN1 1BT",N/A,N/A,N/A
Home delivery - Books and more,N/A,We know that some of our customers are housebound and so may be unable to access the library service. To help these customers we are now working in partnership with Wigan and Leigh Pensioners Link to offer the ‘Books and more’ service. If you’re interested…,"Civic Square, Leigh, Lancashire, WN7 1EB",N/A,N/A,N/A
Lancashire Mining Museum,N/A,"On the edge of Chat Moss, in an area once full of collieries, lies the picturesque village of Astley Green. In the heart of the village stands Astley Green Colliery Museum which houses Lancashire's only surviving headgear and engine house, both of which now have…","Astley Green Colliery Museum, Tyldesley, MANCHESTER, M29 7JB, 01942 895841",N/A,N/A,N/A
Libraries in the Wigan Borough,N/A,"In all libraries you will find a huge selection of books on all kinds of subjects, as well as compact discs, videos, talking books, newspapers, magazines, DVDs and FREE use of the internet computers. Libraries are free to join Below is a list of all the…",N/A,N/A,N/A,N/A
Museum of Wigan Life,Open everyday apart from Sundays and Wednesdays,"We have lively displays on everything from sport and world war to music and festivals in Wigan, Leigh and across the borough. For full details please select the website below.","Library Street, WIGAN, WN1 1NU",N/A,N/A,N/A
Trencherfield Mill Engine,N/A,"Churning out a massive 2,500 horse power to feed the ever hungry machinery of Trencherfield Mill, it played an instrumental role in Wigan’s industrial development. For full information including opening times and cost please select the link below.","Heritage Way, Wigan, WIGAN, LANCASHIRE, WN3 4EF",N/A,N/A,N/A
The Turnpike,N/A,"The Turnpike offers a range of opportunities for children and young people to get involved in creative activities. From toddlers to teenagers and everything in between, we provide artist-led workshops and projects which are designed to develop skills, confidence and knowledge. To find out whats…","Market Street, Leigh, WN7 1EB",N/A,N/A,N/A
What's On - Libraries,N/A,Select the link provided to find out more.,N/A,N/A,N/A,N/A
The Yellow Door Community Library,Tuesday-Friday 9:30am - 12:00pm and the last Saturday morning of each month.,"We provide a bright, warm and welcoming space where children of all ages and their families can come and read and borrow books completely free of charge. We also have a range of toys, games and puzzles as well as dressing up outfits, and have…","Clifton Street Community Centre, Clifton Street, Worsley Mesnes, Wigan, WN3 5HN",N/A,N/A,N/A
