Title,Schedule,Description,Location,Phone,Email,Website
Adventure Golf - Haigh Hall,N/A,"18 holes featuring exciting challenges and obstacles. Take a ride on the viking boat, challenge yourself to the oak tree stump vortex hole and simply indulge in the stunning views making this an adventure golf course like no other.","School Lane, Haigh, Wigan, WN2 1PE, 01942 828280",N/A,N/A,N/A
Alexandra Park,Open all year round,"The fifteen acres on which Alexandra Park is laid out, were given by Colonel Hollinshead Blundell. The park was opened by Colonel Blundell in April 1903. When the Colonel died three years later a monument to him was erected in the park. Amenities included two…","Newton, WIGAN, WN5 9BN",N/A,N/A,N/A
Alexandra Park Skatepark,N/A,"Wigan Borough currently boasts two top skateparks in Ince (at Walmsely Park) and Newtown (at Alexandra Park, close to the ATS garage and Currys/McDonalds) which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank, and a hipped…","Victoria Street, Newtown, WIGAN, WN5 9BN",N/A,N/A,N/A
Amberswood,N/A,"Amberswood and Low Hall were created as a result of mining, but today are areas rich in wildlife and ready to be explored. Amberswood is a 160 hectare nature reserve at the heart of Greenheart. The area consists of a series of small lakes, ponds,…","Moss Lane, Platt Bridge, WIGAN, WN2 3TQ",N/A,N/A,N/A
Ashfield Park,N/A,"With large areas of green spaces and some stunning scenery, the Borough of Wigan is perfect for taking country walks and rambles or for discovering beautiful woodland, lakes and canals. There is lots to see and do in Wigan's Parks and Countryside during the different…","Ashfield Park Drive, Standish, WIGAN, WN6 0EQ, 01942 486999",N/A,N/A,N/A
Ashton Park Skatepark (Jubilee Park),"No time restrictions, outdoor public facility","Wigan Borough currently boasts three top skateparks in Ince (at Walmsely Park), Ashton (Jubilee park) and Newtown (at Alexandra Park, close to the ATS garage and Currys/McDonalds) which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank,…","Wigan Road, Ashton-in-Makerfield, WIGAN, WN4 9BH",N/A,N/A,N/A
Astley Street Park,N/A,"Astley Street Park is a beautiful and well kept small park with facilities including: playing fields, children's play area, bowling greens, football pitches and pavilion.","Tyldesley, MANCHESTER, M29 7BB",N/A,N/A,N/A
Beacon Country Park,N/A,"Beacon Country Park is West Lancashire District Council's main countryside site, consisting of over 300 acres of rolling countryside on the slopes of Ashurst Beacon which forms a backdrop to the town of Skelmersdale. There is space to walk, run, ride horses or bicycles, fly…","Beacon Lane, Upholland, WIGAN, LANCASHIRE, WN8 7RU",N/A,N/A,N/A
Billinge Plantation,N/A,"This is one of over 1,000 woods across the UK cared for by the Woodland Trust. Billinge Plantation is 23 acre isolated patch of mature broadleaved woodland planted in the late 19th century, and is a prominent sky line feature. The site contains 3 formal…","Billinge, WIGAN",N/A,N/A,N/A
Borsdane Wood and Rayner Park Friends Group,Every Monday and Thursday at 10am,"We are an established community group of volunteers who care about these local green spaces. We have twice weekly work parties that monitor the woods, remove litter, report damage or issues, remove invasive plants, plant trees, and other duties under the supervision of Wigan Council.…","07884 164512, 01942 254219",N/A,N/A,N/A
Borsdane Wood Local Nature Reserve (LNR),Open all year round,"Borsdane Wood is Wigan's first Local Nature Reserve filled with wildlife, flowers and trees are all protected so people can enjoy them all year round. There is a footpath running the whole length with benches to sit on and simply take it all in at…","At the end of Hindley Mill Lane, Hindley, WIGAN, WN2 4BT",N/A,N/A,N/A
