Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Ashcroft School,"School Term Time- Monday to Thursday 9:00am to 3:15pm, Friday 9.00 am to 2.15pm","Ashcroft School is a specialist school in Stockport that supports students aged 8 to 18 who have social, emotional and mental health difficulties. Students may also have other difficulties such as school phobia, anxiety, depression, or have diagnoses of ADHD, foetal alcohol syndrome, acquired brain injury (ABI)…","Together Trust Campus, Schools Hill, Cheadle, Stockport, Cheshire, SK8 1JE, 0161 283 4832, 0161 283 4848",N/A,N/A,N/A
Autism Friends,N/A,"Autism Friends aims to increase understanding of autism and inspire people to take action to support people with Autism, and their families, in their community. The initiative has been developed by local organisations including Wigan Council and the Wigan Autism Partnership Board to increase awareness…",N/A,N/A,N/A,N/A
The Blossom Programme,N/A,"The Blossom Programme links with schools and colleges to provide day-release workshops for young people with additional needs aged 16-25. There are opportunities for students to gain nationally recognised Open Awards and Arts Awards, and take part in a range of fun and interactive activities.…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5DN, 01942 735426, 07947 184393",N/A,N/A,N/A
Bridge College - A special FE college,Monday to Friday 9am until 3:30pm,"We’re here to give students a voice in their future and get them ready for a happy, fulfilled adulthood. Our flexible curriculum means students can make choices about their education and our support gives them the tools to succeed. We develop individual learning plans shaped to suit each student’s…","Openshaw Campus, Whitworth Street, Manchester, M11 2GR, 0161 487 4293",N/A,N/A,N/A
Building Opportunities - Together Trust,Monday - Friday,"Building Opportunities is perfect for young people who prefer to get hands-on. Part of Ashcroft services, students learn the skills to enter one of the fastest growing industries in the UK – construction.      As well as getting young people re-engaged with curriculum learning, Building Opportunities…","Schools Hill, Cheadle, Cheshire, SK8 1JE, 01612834832",N/A,N/A,N/A
Disability Employment Adviser (D.E.A.),Office hours: 9:00am to 5:00pm Monday and Tuesday. 10:00am to 5:00pm Wednesday.9:00am to 5:00pm Thursday and Friday,"If you have a health condition or a disability that affects your ability to work, you can get assistance and advice on returning to the workplace by speaking to a Work Coach at your local Jobcentre Plus. Whether you have just lost your job or…","Brocol House, Wigan, WN1 1EB",N/A,N/A,N/A
Duke of Edinburgh's Award,N/A,"The Duke of Edinburgh’s Award (D of E) is a programme of adventurous, practical and cultural activities to help you learn new skills and meet new friends. The Award is recognised all over the country as being a great achievement so is a good thing…",WN5 0UU,N/A,N/A,N/A
Education support services,N/A,"Autism Support for children with a diagnosis of Autism Spectrum condition. Schools’ Outreach Promoting the inclusion of children with SEND in mainstream schools. Children in Care Ensuring children in care get an appropriate education. Targeted Education Support Providing support when learning progress, social, emotional or…",N/A,N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
Happy Smiles Training CIC,Mondays - Fridays from 9.30am - 3.30pm.,"Happy Smiles Training CIC is a non-profit training provider, set up with the aim of creating inclusive communities, by empowering disabled young adults to deliver awareness and inclusion training across schools, community groups, businesses and more.  In the past two years, we have delivered training to over 3500 children, young people and…","Mesnes Street, Wigan, WN1 1AR, 07917221503",N/A,N/A,N/A
Hope School and College,N/A,"“Where achievement, equality and independence are a key aspiration for all” Hope School and College is located in Marus Bridge and is a community special school catering for ages 2-19 with a range of severe and complex needs. We are the designated school in Wigan…","Kelvin Grove, Wigan, WN3 6SP, 01942 824150",N/A,N/A,N/A
Inscape House School,School Term Time- Monday to Friday 8:55am to 3:00pm,"Inscape House School has 105 places for young people aged 5 to 19 who have autism and associated communication difficulties as their primary need.   https://www.togethertrust.org.uk/inscape-house-school   Inscape House School’s Vision Together we learn, grow and succeed. Together we conquer barriers and surpass expectations. Inscape…","Together Trust Campus, Schools Hill, Cheadle, Stockport, Cheshire, SK8 1JE, 0161 283 4750, 0161 283 4848",N/A,N/A,N/A
Landgate School,N/A,Landgate School is a partner school in the Aspire Federation. Our Federation was newly formed in September 2015. Our Schools operate as individual schools but share a commitment to driving forward transformational SEN provision. We are an inclusive school. We enable all learners to achieve…,"Landgate Lane, Ashton-in-makerfield, Wigan, WN4 0EP, 01942 776688",N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
Newbridge Learning Community,N/A,Our school caters for pupils age 11-16 years. Our central aim is to enable the pupils to feel valued and respected as individuals and to see them constructively involved in the life and work of the school. Please click the link to view our latest…,"Moss Lane, Platt Bridge, WIGAN, LANCASHIRE, WN2 3TL, 01942 369770",N/A,N/A,N/A
Nisai Virtual Academy Ltd,Term time only,"Nisai Virtual Academy know that everyone has equal value and should have access to high quality online education around the world. It is our mission to give traditional and non-traditional learners the skills to flourish through innovative online education. We provide an inclusive, supportive learning…",N/A,N/A,N/A,N/A
Oakfield High School,N/A,At Oakfield High School and College we understand the importance of preparing our young people for the future and we will help them to develop the skills and qualities they will need to make a positive contribution to the community.The opportunities and challenges offered at…,"Long Lane, Hindley Green, WIGAN, WN2 4XA, 01942 776142",N/A,N/A,N/A
Portage - A home teaching service,Monday - Friday 9:00am to 5:00pm,"Wigan Early Years Team support children with SEND from birth to the end of reception, part of this support offer is Portage. Portage is a home teaching service for young children who have an additional need and are not yet accessing a nursery provision. Portage…",N/A,N/A,N/A,N/A
Primary Schools,N/A,"For information on local Primary Schools including term dates, school meals, school admissions and more please select the following link and find out more Schools (wigan.gov.uk) If you are new to the area and are unsure where your local Primary school is located select the following…",N/A,N/A,N/A,N/A
