Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Ambitious youth network,N/A,"Young people will be able to take part in peer support sessions, share experiences and find volunteering, work experience and employment opportunities. There will also be opportunities for them to work together and campaign for change. Please select the website link below for more information.…",020 8815 5444,N/A,N/A,N/A
Autism Engagement Group,Second Thursday of the month,Then don't forget to come along to our monthly Autism Engagement Group. Drink refreshments available.,"Dobson Park Way, Ince, Wigan, WN2 2DX",N/A,N/A,N/A
Autism Friends Coffee Group,First Thursday of the month,"Have a brew, chat, play games, socialise and make new friends.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Autism Friends Employability Group,Third Thursday of each month,"Get support from Job Centre staff around finding volunteering opportunities or paid work, identifying reasonable adjustments, benefit guidance and employability skills.","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
Blessing in Disguise,N/A,"What we do... Blessing in Disguise children’s charity actively raises funds through events and through the kind generosity of its donors, support from the community and local and national businesses.  This enables us to provide a range of essential and special needs equipment, planned activities…","Lilford House, St. Helens Road, Hindley, Wigan, Greater Manchester, WN7 4HG, 01942 316113",N/A,N/A,N/A
Carers Trust,N/A,"Carers Trust is a major charity for, with and about carers. We work to improve support, services and recognition for anyone living with the challenges of caring, unpaid, for a family member or friend who is ill, frail, disabled or has mental health or addiction…","32-36, Loman Street, London, SE1 0EH, 0300 772 9600",N/A,N/A,N/A
Chaos and Calm Podcast,N/A,"On the Chaos and Calm Podcasts we have parents that discuss their SEND journeys and just how different they can be. We talk about Behaviours, Strategies, Services, the more challenging things and the FUN things we have to deal with. We also discuss and ask…",07566 724032,N/A,N/A,N/A
Contact a Family,N/A,"We are Contact, the charity for families with disabled children. We support families with the best possible guidance and information. We bring families together to support each other. And we help families to campaign, volunteer and fundraise to improve life for themselves and others. To…",N/A,N/A,N/A,N/A
Embrace Wigan & Leigh,Monday - Friday 9:00am to 5:00pm,"Embrace Wigan and Leigh is a user-led charity dedicated to helping people with any type of disability and their families who live within the borough of Wigan, gain the support they need to live a fulfilling life. Embrace offers information, advice, support, training and advocacy…","Platt Bridge Community Zone, 81 Ribble Road, Platt Bridge, Wigan, WN2 5EG, 01942 233323",N/A,N/A,N/A
Greater Manchester Autism Consortium,N/A,"The Greater Manchester Autism Consortium project is funded by the 10 councils of Greater Manchester and the 10 Clinical Commissioning Groups (local NHS organisations).    Our work includes: Delivery of the Greater Manchester Autism Strategy   Providing information and advice to autistic people, families, carers and professionals in…","Birdhall Lane, Cheadle Heath, Stockport, Greater Manchester, SK3 0RF",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
Learning Disability Team - Children’s,N/A,"The Learning Disability Children’s Nursing Service, based at Platt Bridge Health Centre, provides support in managing behavioural issues for children aged 4-16 with a learning disability. Please go to the website below for further information and contact details.","Rivington Avenue, Platt Bridge, Wigan, WN2 5NG",N/A,N/A,N/A
Learning Disability Team - Community Services,N/A,"We are a multidisciplinary team based at locations across the Wigan borough aiming to provide a seamless, person centered service to adults and young people with a learning disability. We are predominantly an adult service who supports adults with learning disabilities from the age of 18…",WN5 8QU,N/A,N/A,N/A
LifeBeats,N/A,"LifeBeats provides creative music sessions for people with learning/physical challenges. I currently provide sessions for My Life Legacy, Thrive CIC, True Colours CIC, CORE CIC and other day-care organisations in and around Wigan delivering music sessions using colour-assisted drums, song, dance, sign language, ukulele sessions,…",07403380486,N/A,N/A,N/A
Midstream (West Lancs) Ltd,N/A,"Work Activity, Training & Day Care Our standard social care programme for young people and adults – all ages – who are disadvantaged in the world of work through learning disabilities.  Pathways to Adulthood An enhanced social care programme dedicated to young people – ages…","2 Penrose Place, Up Holland, Skelmersdale, LANCASHIRE, WN8 9PR",N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
National Autistic Society,N/A,"We are the UK's leading charity for people on the autism spectrum and their families. Since 1962, we have been providing support, guidance and advice, as well as campaigning for improved rights, services and opportunities to help create a society that works for autistic people…",N/A,N/A,N/A,N/A
Navigate: emotional support for parents (Scope),Monday to Friday: 9am to 8pm Saturday: 9am to 12pm,"Navigate is a national mentoring service, that provides online emotional support for parents and carers of disabled children who are finding out about their child’s additional needs.  Please visit their website provided for full information.",0808 801 0510,N/A,N/A,N/A
Occupational Therapy Service - Children’s,N/A,"We are a team of Occupational Therapists, Therapy Assistants and Administrative Support Staff who work together to deliver a high quality, efficient children’s occupational therapy service to the children and young people of Ashton, Leigh and Wigan. Our occupational therapy service offers specialist assessment and…","Rivington Avenue, Platt Bridge, WIGAN, WN2 5NG",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
People First Support CIC,Open Monday to Friday 10am-4pm,People First Support CIC is a day time support service set up by the people behind Wigan & Leigh People First. We have lots of experience working alongside people with learning disabilitie. If you are looking for an alternative to traditional day services then we could be…,"1-3, Heath Street, Golborne, Greater Manchester, WA3 3BN, 01942728748",N/A,N/A,N/A
