Title,Schedule,Description,Location,Phone,Email,Website
All Ears MHA C.I.C,N/A,"Since 2020, we have specialised in providing educational emotional wellbeing workshops and assemblies to support young people in schools and colleges across Greater Manchester. These are catered to different ages but essentially aim to provide young people with their own toolkit to healthily process their…",N/A,N/A,N/A,N/A
Be Well Advisors - Atherton,Fridays 10am - 1pm,"Be Well Advisors - Atherton Start Well Family Centre Fridays 10am - 1pm Drop in for information on weight management, mental health, stop smoking and alcohol reduction. To make an appointment call 01942 836967","Formby Avenue, Atherton, M46 0HX",N/A,N/A,N/A
BEAT Eating Disorders,N/A,"Our national Helpline exists to encourage and empower people to get help quickly, because we know the sooner someone starts treatment, the greater their chance of recovery. People can contact us online or by phone 365 days a year. We listen to them, help them to understand…",0808 8010677 (free phone number),N/A,N/A,N/A
Bullying,N/A,"Please take a look at the link below, Wigan Council's LINC2, here you will find information and advice including services you can contact for help.",N/A,N/A,N/A,N/A
Calm Harm,N/A,"Calm Harm is an award-winning app developed for teenage mental health charity stem4 by Dr Nihara Krause, Consultant Clinical Psychologist, using the basic principles of an evidence-based therapy called Dialectical Behavioural Therapy (DBT).   Calm Harm provides tasks to help you resist or manage the…",N/A,N/A,N/A,N/A
Child and Adolescent Mental Health Service (Wigan CAMHS),N/A,"Our Child and Adolescent Mental Health Services - also known as CAMHS - work with young people with emotional, behavioural or mental health difficulties, and their families. Please visit the website below for full information and how to contact them.","Helping Hands Centre, 155 - 157 Manchester Rd, Ince, WIGAN, LANCASHIRE, WN2 2JA, 01942 764473 open 9-5pm, 0800 953 0285 - 24 hour helpline",N/A,N/A,N/A
Child Bereavement UK,N/A,"Child Bereavement UK supports families and educates professionals when a baby or child of any age dies or is dying, or when a child is facing bereavement. Our vision is for all families to have the support they need to rebuild their lives. Please go…",0800 02 888 40,N/A,N/A,N/A
Childline - Calm Zone,N/A,"There are lots of ways to feel calmer. It's about finding what works for you. Try some of our breathing exercises, activities, games and videos to help let go of stress. You can talk about anything. Whether it’s something big or small, our trained counsellors…",0800 1111,N/A,N/A,N/A
Complete Kindness CIC,N/A,Qualified counsellors supporting the community across the Wigan Borough.,N/A,N/A,N/A,N/A
Cruse Bereavement Care,N/A,"Grief is a natural process, but it can be devastating. We are here to support you after the death of someone close.  Hope again  is the youth website of Cruse Bereavement Care. It is a safe place where you can learn from other young people,…",0808 808 1677,N/A,N/A,N/A
