Title,Schedule,Description,Location,Phone,Email,Website
Aspiring Futures,N/A,"Careers advice and guidanceIf you're a young person aged 13-16, you have the legal right to access independent and impartial information and advice from your school or college to help you make informed and realistic decisions about your future career. Speak to your high school or college…",N/A,N/A,N/A,N/A
greater jobs,N/A,greater.jobs is a careers and recruitment website managed by a collaboration of public sector employers led by Wigan Council who are responsible for this greater.jobs Careers and Recruitment website.,"WIGAN, WN1 1YN",N/A,N/A,N/A
Greater Manchester Apprenticeship & Careers Service (GMACS),N/A,"The Greater Manchester Apprenticeship & Careers Service (GMACS) helps young people explore and design their next steps before leaving school. The site brings together different stages of the career planning process, helping students navigate the choices open to them and develop the tools to start…",N/A,N/A,N/A,N/A
Groundwork Prince's Trust Team Programme,"Prince's Trust Team Programme is a FREE 16 week personal development course. It starts in September, January and May each year.","Groundwork is a local charity that helps change places and lives for thousands of people. They have an excellent track record of supporting young people and adults to make life changing decisions to improve their life skills, employment opportunities and create better outcomes for the…","74 - 80 Hallgate, Wigan, WIGAN, LANCASHIRE, WN1 1HP, 07715629928",N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
Jobcentre Plus,N/A,"Jobcentre Plus is part of the Department for Work and Pensions. Jobcentre Plus provides advice and information on a range of employment and training issues for people of working age. Helping find the right kind of jobs: full time or part time, temporary or permanent. Provides…","71 King Street, WIGAN, WN1 1EA, 0800 169 0190",N/A,N/A,N/A
STEPS.CIC,Available Monday to Friday 9:00am - 4:00pm,"We are a vibrant, professional and forward thinking service, where the achievement and personal development of each individual is recognised and celebrated. We believe that all of our attendees deserve the very best opportunities that enable them to reach their full potential. Please visit their…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Traineeships,N/A,"A traineeship is a 16 week full time programme of skills development and learning whilst ‘on the job’. Our Traineeship programme offers learners the chance to gain the skills, knowledge and experience needed to begin applying for apprenticeships/jobs in a job sector of their choosing.…","74-80 Hallgate, Wigan, Greater Manchester, WN1 1HP",N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
Working in Early Years and Childcare,N/A,"For further information, contact details and what to do next please go to the website below.",N/A,N/A,N/A,N/A
