Title,Schedule,Description,Address,Phone,Email,Website
BYOU,Please get in touch for details of where we meet.,"Being young and LGBT, or not sure, can sometimes be difficult. Everyone has their own strengths and skills and you can draw on these to help you feel more confident about being yourself. Sometimes you will need some support from other people who have different strengths…",N/A,N/A,https://www.wigan.gov.uk/LINC2/Have-a-say/BYOU.aspx,N/A
Children in Care,N/A,"Leaving Care - Advice and support for when you leave care. Council’s responsibilities - As a corporate parent for children in care we have certain responsibilities. Residential homes - Accommodation for young people that have emotional, attachment or behaviour difficulties. Independent reviews - Reviewing the needs…",WN3 4NW,N/A,N/A,N/A
Children in Care Activity Groups,N/A,"If you're in care and aged 7-12 (Junior) or 13-19 (Senior) you're welcome to come along to one of these groups in your local area. Junior groups offer activities such as archery, arts and crafts, cookery and games. The senior group gives you the chance to influence…",N/A,01942 487100,TYSSWeb@wigan.gov.uk,https://www.wigan.gov.uk/LINC2/Things-to-do/Activities/Children-in-Care-Activity-Groups.aspx
EDIT (Early Detection and Intervention Team),N/A,Early Detection and Intervention Team (EDIT) is a specialist psychological therapy service that works with young people aged 14 – 35 years who are experiencing distress and symptoms such as: Hearing or seeing things that others cannot Feeling paranoid or suspicious of people or certain…,Sale Way LEIGH WN7 4JY,N/A,N/A,N/A
FFLAG,Please contact for details,"FFLAG is dedicated to supporting parents and their gay, lesbian and bisexual sons and daughters, helping parents understand, accept and support their family members with love and pride. Visit the webiste below for full information.",across the north west,N/A,N/A,N/A
LINC 2,N/A,"Find out about things to do, get information about issues that might affect you, find out about services that are here to support you and discover the latest opportunities for young people in Wigan and Leigh. Things to doFind activities for young people run by…",N/A,N/A,N/A,N/A
We Are Explorers,Monday - Thursday and Saturdays,We Are Explorers is a youth organisation that supports queer and questioning young folx in the wider Leigh area. Our support includes: A free weekly youth group for queer and questioning 11-18 year olds. Additional provision is offered during school holidays. Free opportunities for queer…,Leigh Wigan WN7,07598906411,jam.explorers@yahoo.com,https://www.weareexplorers.org
Wigan and Leigh Carers Centre (WLCC),Open Monday to Friday from 9 am until 4.30 pm,Carers are at the heart of everything we do.  We care deeply about making it our mission to make a positive difference to the lives of both young and adult carers in the Wigan and Leigh Borough.   Are you an unpaid / unwaged Carer?…,3-5 Frederick Street Hindley Wigan Greater Manchester WN2 3BD,01942 697885,info@wlcccarers.com,https://www.wlcccarers.com/
Wigan and Leigh Young Carers,N/A,"Young carers and their families do not always know where to go for help. You may not have realised that your child is a young carer, as it’s just part of your family life, or you may have hit a crisis point and don’t know…",N/A,01942 697885,https://www.walyc.org.uk/,N/A
Wigan Youth Cabinet/Wigan Youth Parliament,N/A,"If you want to change something that affects young people in Wigan Borough, the Youth Cabinet might be for you. They campaign to make things better for young people in Wigan. For more information and contact details please select the link provided Wigan and Leigh…",WIGAN WN1 1NJ,01942 487100,TYSSWeb@wigan.gov.uk,https://www.wigan.gov.uk/LINC2/Have-a-say/Youth-Cabinet.aspx
Young people from different ethnic backgrounds,"Tuesday's, 5pm - 7.30pm","If you’re aged 7-18 and have recently come to live in Wigan or Leigh from a different country, you can come and join us. There are two young people’s groups in the borough that are just for young people from different ethnic backgrounds. You can do…",N/A,N/A,N/A,N/A
